fpr,tpr,threshold
0.0,0.0,inf
0.006666666666666667,0.0,0.9833333333333333
0.013333333333333334,0.0,0.98
0.03333333333333333,0.013333333333333334,0.9766666666666667
0.04666666666666667,0.02666666666666667,0.9733333333333334
0.09333333333333334,0.05333333333333334,0.97
0.12666666666666668,0.06666666666666667,0.9666666666666667
0.15333333333333332,0.10666666666666667,0.9633333333333334
0.21333333333333335,0.12666666666666668,0.96
0.24,0.19333333333333333,0.9566666666666667
0.29333333333333333,0.25333333333333335,0.9533333333333334
0.3333333333333333,0.29333333333333333,0.95
0.3466666666666667,0.38666666666666666,0.9466666666666667
0.4066666666666667,0.43333333333333335,0.9433333333333334
0.49333333333333335,0.5066666666666667,0.94
0.5266666666666666,0.56,0.9366666666666666
0.5733333333333334,0.6,0.9333333333333333
0.62,0.62,0.93
0.6333333333333333,0.6733333333333333,0.9266666666666666
0.6666666666666666,0.68,0.9233333333333333
0.7133333333333334,0.7066666666666667,0.92
0.7333333333333333,0.72,0.9166666666666666
0.7866666666666666,0.76,0.91
0.82,0.7866666666666666,0.9066666666666666
0.8266666666666667,0.7933333333333333,0.9033333333333333
0.8533333333333334,0.8133333333333334,0.9
0.8533333333333334,0.8266666666666667,0.8966666666666666
0.8733333333333333,0.8333333333333334,0.8933333333333333
0.88,0.84,0.89
0.8866666666666667,0.86,0.8866666666666667
0.8866666666666667,0.8733333333333333,0.88
0.9,0.8933333333333333,0.8766666666666667
0.9133333333333333,0.9,0.8733333333333333
0.92,0.9066666666666666,0.87
0.9333333333333333,0.92,0.8666666666666667
0.94,0.9266666666666666,0.8633333333333333
0.9466666666666667,0.9266666666666666,0.86
0.9533333333333334,0.9333333333333333,0.8566666666666667
0.96,0.9466666666666667,0.8533333333333334
0.98,0.9533333333333334,0.85
0.98,0.9666666666666667,0.84
0.9933333333333333,0.9733333333333334,0.83
0.9933333333333333,1.0,0.7833333333333333
1.0,1.0,0.7733333333333333
