bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,0,,,
4,0.4,0.5,5,0.4873333333333333,0.4,0.08733333333333326
5,0.5,0.6000000000000001,41,0.5695121951219512,0.2926829268292683,0.2768292682926829
6,0.6000000000000001,0.7000000000000001,113,0.6550737463126843,0.3893805309734513,0.265693215339233
7,0.7000000000000001,0.8,95,0.7461754385964914,0.5894736842105263,0.15670175438596512
8,0.8,0.9,38,0.8285964912280701,0.8157894736842105,0.0128070175438596
9,0.9,1.0,8,0.9545833333333333,0.625,0.32958333333333334
