bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,8,0.27791666666666665,0.25,0.027916666666666645
3,0.30000000000000004,0.4,20,0.35633333333333334,0.4,0.04366666666666669
4,0.4,0.5,42,0.4518253968253968,0.4523809523809524,0.0005555555555555869
5,0.5,0.6000000000000001,47,0.5585106382978723,0.425531914893617,0.13297872340425526
6,0.6000000000000001,0.7000000000000001,53,0.6530817610062893,0.39622641509433965,0.2568553459119497
7,0.7000000000000001,0.8,64,0.7520833333333334,0.53125,0.22083333333333344
8,0.8,0.9,54,0.8461728395061727,0.7037037037037037,0.142469135802469
9,0.9,1.0,12,0.9408333333333335,0.6666666666666666,0.2741666666666669
