train_name,method,test_set,alpha,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,ece,brier_score
m4,full,m4_test,,0.9942480359147026,0.9989507649671864,0.9822064056939501,0.8866906474820144,0.9760191846522782,0.026783715012722725,0.022475312411648293
m4,transition,m4_test,,0.9474481021243613,0.9899939212085769,0.9146146466261592,0.5959232613908872,0.802158273381295,0.1171089207146066,0.09533936966380925
m4,late_fusion,m4_test,1.0,0.9942480359147026,0.9989507649671864,0.9822064056939501,0.8866906474820144,0.9760191846522782,0.026783715012722725,0.022475312411648293
m4,full,ghostbuster_test,,0.9003844011650733,0.9267918215366142,0.8428005284015853,0.39018087855297157,0.5581395348837209,0.04261194029850745,0.12778721393034825
m4,transition,ghostbuster_test,,0.8860857735046246,0.9007536227349447,0.7728613569321534,0.14728682170542637,0.5581395348837209,0.14323456706994,0.16425570493602254
m4,late_fusion,ghostbuster_test,1.0,0.9003844011650733,0.9267918215366142,0.8428005284015853,0.39018087855297157,0.5581395348837209,0.04261194029850745,0.12778721393034825
m4,full,hc3_plus_test,,0.9369417332150252,0.9503359342996942,0.7594339622641509,0.40372670807453415,0.6024844720496895,0.33964912280701753,0.31371846282372595
m4,transition,hc3_plus_test,,0.8026027802425318,0.8465137409402752,0.8040712468193384,0.17391304347826086,0.2670807453416149,0.26369442218534256,0.2558502812315915
m4,late_fusion,hc3_plus_test,1.0,0.9369417332150252,0.9503359342996942,0.7594339622641509,0.40372670807453415,0.6024844720496895,0.33964912280701753,0.31371846282372595
m4,full,all_samples,,0.6513555555555556,0.6251646474113441,0.6666666666666666,0.0,0.06666666666666667,0.4159555555555554,0.4146216296296297
m4,transition,all_samples,,0.5109333333333334,0.5043826619061544,0.6181818181818182,0.006666666666666667,0.04666666666666667,0.398701246985,0.41981797540069415
m4,late_fusion,all_samples,1.0,0.6513555555555556,0.6251646474113441,0.6666666666666666,0.0,0.06666666666666667,0.4159555555555554,0.4146216296296297
leave_out_ghostbuster,full,m4_test,,0.9924989301488103,0.998599710127872,0.9813333333333333,0.842326139088729,0.9664268585131894,0.03240882103477527,0.023861334464235228
leave_out_ghostbuster,transition,m4_test,,0.9330545664478519,0.9871774769001638,0.9410745233968805,0.61810551558753,0.7134292565947242,0.03026632739609842,0.0725062482329658
leave_out_ghostbuster,late_fusion,m4_test,1.0,0.9924989301488103,0.998599710127872,0.9813333333333333,0.842326139088729,0.9664268585131894,0.03240882103477527,0.023861334464235228
leave_out_ghostbuster,full,ghostbuster_test,,0.9077482857168945,0.9356999901505917,0.8443271767810027,0.4418604651162791,0.6304909560723514,0.04053233830845768,0.12160542288557212
leave_out_ghostbuster,transition,ghostbuster_test,,0.9202344755800257,0.9437872473305016,0.8443935926773455,0.4702842377260982,0.7235142118863049,0.13059203980099499,0.14108276948590384
leave_out_ghostbuster,late_fusion,ghostbuster_test,1.0,0.9077482857168945,0.9356999901505917,0.8443271767810027,0.4418604651162791,0.6304909560723514,0.04053233830845768,0.12160542288557212
leave_out_ghostbuster,full,hc3_plus_test,,0.953416149068323,0.9741380358610225,0.8186528497409327,0.7515527950310559,0.8757763975155279,0.1878822055137844,0.15330321637426902
leave_out_ghostbuster,transition,hc3_plus_test,,0.9438923395445135,0.9656182890655232,0.803030303030303,0.6211180124223602,0.7142857142857143,0.2068922305764411,0.17366499582289058
leave_out_ghostbuster,late_fusion,hc3_plus_test,1.0,0.953416149068323,0.9741380358610225,0.8186528497409327,0.7515527950310559,0.8757763975155279,0.1878822055137844,0.15330321637426902
