train_name,test_name,n_train,n_test,n_features,best_model,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,fpr_at_tpr_95pct,ece,brier_score
train_ghostbuster,ghostbuster_strict_test,5295,670,276,random_forest,0.997744724755983,0.9984513044945122,0.980544747081712,0.9612403100775194,0.9870801033591732,0.0035335689045936395,0.04731840796019904,0.023037628524046432
train_ghostbuster,m4_strict_test,5295,1965,276,random_forest,0.862422183465349,0.9702580522118378,0.8498677248677249,0.2422062350119904,0.5329736211031175,0.5454545454545454,0.21978795589482614,0.16459293751767037
train_ghostbuster,hc3_plus_strict_test,5295,266,276,random_forest,0.901715468796214,0.9452768738383567,0.8448844884488449,0.639751552795031,0.6956521739130435,0.5523809523809524,0.05979949874686714,0.12511353383458648
train_ghostbuster,all_samples,5295,300,276,random_forest,0.27131111111111106,0.3729348205728833,0.03296703296703297,0.006666666666666667,0.006666666666666667,0.9866666666666667,0.4207333333333334,0.4175217037037037
train_m4,ghostbuster_strict_test,15623,670,276,random_forest,0.9003844011650733,0.9267918215366142,0.8428005284015853,0.39018087855297157,0.5581395348837209,0.48056537102473496,0.04261194029850745,0.12778721393034825
train_m4,m4_strict_test,15623,1965,276,random_forest,0.9942480359147026,0.9989507649671864,0.9822064056939501,0.8866906474820144,0.9760191846522782,0.026936026936026935,0.026783715012722725,0.022475312411648293
train_m4,hc3_plus_strict_test,15623,266,276,random_forest,0.9369417332150252,0.9503359342996942,0.7594339622641509,0.40372670807453415,0.6024844720496895,0.26666666666666666,0.33964912280701753,0.31371846282372595
train_m4,all_samples,15623,300,276,random_forest,0.6513555555555556,0.6251646474113441,0.6666666666666666,0.0,0.06666666666666667,0.98,0.4159555555555554,0.4146216296296297
train_hc3_plus,ghostbuster_strict_test,581,670,276,random_forest,0.9344874498954537,0.9562291251666023,0.8121212121212121,0.5607235142118863,0.751937984496124,0.38515901060070673,0.172318407960199,0.1460111774461028
train_hc3_plus,m4_strict_test,581,1965,276,random_forest,0.9163891109334755,0.9822662899711011,0.8732207878186031,0.28776978417266186,0.6336930455635491,0.39730639730639733,0.2000966921119592,0.13433674300254456
train_hc3_plus,hc3_plus_strict_test,581,266,276,random_forest,0.9632653061224491,0.9776749767957801,0.9130434782608695,0.6956521739130435,0.8322981366459627,0.19047619047619047,0.056679197994987454,0.07587222222222222
train_hc3_plus,all_samples,581,300,276,random_forest,0.5970666666666666,0.5795522949127698,0.10843373493975904,0.02666666666666667,0.06,0.92,0.24713333333333334,0.3043896296296297
train_combined_strict,ghostbuster_strict_test,21499,670,276,random_forest,0.9922480620155039,0.9938420831931558,0.9632446134347274,0.7803617571059431,0.9741602067183462,0.03180212014134275,0.05836815920398007,0.037960464344941956
