test_name,feature,train_mean,train_variance,test_mean,test_variance,standardized_mean_difference,ks_statistic
ghostbuster_test,burst_text_length,2136.0550723289457,1639354.4948736792,2926.434328358209,1137938.5868616558,0.6173040062610083,0.3897015689032395
ghostbuster_test,burst_char_count,2136.0550723289457,1639354.4948736792,2926.434328358209,1137938.5868616558,0.6173040062610083,0.3897015689032395
ghostbuster_test,burst_word_count,349.09730685148145,41266.21157475425,464.4671641791045,26471.41820270843,0.5679303205204278,0.3780295230670222
ghostbuster_test,burst_sentence_count,20.863807618959022,271.2825020331339,28.15820895522388,192.03472324476272,0.4428725504846343,0.37930150170122456
ghostbuster_test,burst_avg_sentence_length,19.403661838805814,126.55311680898721,17.875839937587358,25.24204569602549,0.1358114257603372,0.09575953897196188
ghostbuster_test,burst_std_sentence_length,8.511016143074903,43.40240789169137,7.861238132246849,8.905355622196002,0.09862978768116172,0.06891601344873383
ghostbuster_test,burst_sentence_length_cv,0.47371197073653326,0.08661544306817255,0.47154061411049225,0.03815777146166993,0.00737791237034778,0.0756205946406393
ghostbuster_test,burst_max_sentence_length,38.13698311549374,580.601338948966,35.429850746268656,104.06009414809363,0.11234932700125819,0.048427243752399485
ghostbuster_test,burst_min_sentence_length,6.91050746546351,129.66693722037175,5.156716417910448,25.223534792405683,0.15401507172858087,0.10699983963155524
ghostbuster_test,burst_punctuation_ratio,0.018428694329762466,8.999758947104455e-05,0.019821889463579746,4.121207117336856e-05,0.1468576283027214,0.14802791938257454
ghostbuster_test,burst_comma_ratio,0.007994183955950742,2.1760054728177527e-05,0.009309750343531452,1.1677021076924308e-05,0.2820218630101277,0.20901333140798636
ghostbuster_test,burst_period_ratio,0.009542352299701549,5.930806345242524e-05,0.009800143513473086,1.8232549043521016e-05,0.033474279617741055,0.061033383711703346
ghostbuster_test,burst_question_ratio,0.0001842006710181756,5.097324945371485e-07,0.00030637561132332004,9.913803401150175e-07,0.1711240205928805,0.06120694263461057
ghostbuster_test,burst_exclamation_ratio,0.00016529502154067583,7.631412700612591e-06,0.00016290438788058462,4.56878363651373e-07,0.0008653873845155554,0.02141245028404659
ghostbuster_test,burst_paragraph_count,6.45495139308805,64.3238031642109,10.725373134328358,56.35795015951632,0.5324574529489459,0.39796172400937774
ghostbuster_test,burst_avg_paragraph_length,143.75627651028157,34783.080249950006,60.178306168534554,2078.11804043311,0.44813390273115666,0.2601135908438642
