method,auroc,auprc,f1,tpr_at_fpr_5pct
Basic,0.5439777777777778,0.5325906733935075,0.6304347826086957,0.0533333333333333
Scale-response,0.6252222222222223,0.6154962399578228,0.6048109965635738,0.0466666666666666
Transition,0.6950666666666667,0.6592289640533262,0.6799007444168734,0.0933333333333333
DMD-lite,0.6782888888888889,0.6460065318448558,0.6614173228346457,0.0933333333333333
Deep DMD,0.6894222222222223,0.6519989932126965,0.6896551724137931,0.1133333333333333
Best Fusion,0.6973648648648649,0.662778987356069,0.683291770573566,0.0933333333333333
