train_name,experiment,test_set,best_model,n_train,n_test,n_features,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,ece,brier_score
m4,transition_only,m4_test,logistic_regression,15623,1965,348,0.9474481021243613,0.9899939212085769,0.9146146466261592,0.5959232613908872,0.802158273381295,0.1171089207146066,0.09533936966380925
m4,transition_only,ghostbuster_test,logistic_regression,15623,670,348,0.8860857735046246,0.9007536227349447,0.7728613569321534,0.14728682170542637,0.5581395348837209,0.14323456706994,0.16425570493602254
m4,transition_only,hc3_plus_test,logistic_regression,15623,266,348,0.8026027802425318,0.8465137409402752,0.8040712468193384,0.17391304347826086,0.2670807453416149,0.26369442218534256,0.2558502812315915
m4,transition_only,all_samples,logistic_regression,15623,300,348,0.5109333333333334,0.5043826619061544,0.6181818181818182,0.006666666666666667,0.04666666666666667,0.398701246985,0.41981797540069415
m4,full_without_transition,m4_test,random_forest,15623,1965,276,0.9942480359147026,0.9989507649671864,0.9822064056939501,0.8866906474820144,0.9760191846522782,0.026783715012722725,0.022475312411648293
m4,full_without_transition,ghostbuster_test,random_forest,15623,670,276,0.9003844011650733,0.9267918215366142,0.8428005284015853,0.39018087855297157,0.5581395348837209,0.04261194029850745,0.12778721393034825
m4,full_without_transition,hc3_plus_test,random_forest,15623,266,276,0.9369417332150252,0.9503359342996942,0.7594339622641509,0.40372670807453415,0.6024844720496895,0.33964912280701753,0.31371846282372595
m4,full_without_transition,all_samples,random_forest,15623,300,276,0.6513555555555556,0.6251646474113441,0.6666666666666666,0.0,0.06666666666666667,0.4159555555555554,0.4146216296296297
m4,full_plus_transition,m4_test,random_forest,15623,1965,624,0.9935586884028133,0.9988369970759399,0.9816459443457667,0.8830935251798561,0.9688249400479616,0.03274809160305334,0.024984828951088497
m4,full_plus_transition,ghostbuster_test,random_forest,15623,670,624,0.902525543046539,0.9276876570900292,0.8467532467532467,0.4005167958656331,0.5607235142118863,0.033547263681591985,0.12582774461028196
m4,full_plus_transition,hc3_plus_test,random_forest,15623,266,624,0.9132800946465544,0.9381464477573537,0.7594339622641509,0.3416149068322981,0.6086956521739131,0.34063909774436096,0.31691633249791146
m4,full_plus_transition,all_samples,random_forest,15623,300,624,0.6181333333333333,0.6036539801331936,0.6666666666666666,0.0,0.04666666666666667,0.42745555555555576,0.4260347037037037
m4,transition_all,m4_test,logistic_regression,15623,1965,348,0.9474481021243613,0.9899939212085769,0.9146146466261592,0.5959232613908872,0.802158273381295,0.1171089207146066,0.09533936966380925
m4,transition_all,ghostbuster_test,logistic_regression,15623,670,348,0.8860857735046246,0.9007536227349447,0.7728613569321534,0.14728682170542637,0.5581395348837209,0.14323456706994,0.16425570493602254
m4,transition_all,hc3_plus_test,logistic_regression,15623,266,348,0.8026027802425318,0.8465137409402752,0.8040712468193384,0.17391304347826086,0.2670807453416149,0.26369442218534256,0.2558502812315915
m4,transition_all,all_samples,logistic_regression,15623,300,348,0.5109333333333334,0.5043826619061544,0.6181818181818182,0.006666666666666667,0.04666666666666667,0.398701246985,0.41981797540069415
m4,transition_top20,m4_test,random_forest,15623,1965,20,0.9216757906805868,0.985114832349532,0.9335644136337378,0.5359712230215827,0.6774580335731415,0.018461407972858418,0.0772889850155499
m4,transition_top20,ghostbuster_test,random_forest,15623,670,20,0.8895691237296955,0.9230525861151873,0.8013245033112583,0.35658914728682173,0.5968992248062015,0.14444278606965172,0.16362466003316747
m4,transition_top20,hc3_plus_test,random_forest,15623,266,20,0.8540076900325347,0.9160353570633515,0.7890818858560794,0.6459627329192547,0.6770186335403726,0.2486340852130326,0.24275192147034252
m4,transition_top20,all_samples,random_forest,15623,300,20,0.5064222222222222,0.498391316988644,0.6411483253588517,0.006666666666666667,0.03333333333333333,0.32800000000000007,0.3686773333333333
m4,transition_top50,m4_test,random_forest,15623,1965,50,0.9396624114849534,0.9886787652153264,0.941586748038361,0.6163069544364509,0.7583932853717026,0.022028837998303536,0.06954696070115918
m4,transition_top50,ghostbuster_test,random_forest,15623,670,50,0.8857616347549786,0.9101417403679964,0.8197474167623421,0.24289405684754523,0.5917312661498708,0.11699502487562186,0.1527070646766169
