train_source,method,same_source_auroc,mean_public_cross_source_auroc,all_samples_auroc,same_to_all_gap,public_cross_to_all_gap
combined_strict,deep_dmd_best_available,,0.9795154023729108,0.6621333333333334,,0.31738206903957744
ghostbuster,deep_dmd_best_available,0.99751645803088,0.8894631842767744,0.5078828828828829,0.4896335751479971,0.38158030139389154
hc3_plus,deep_dmd_best_available,0.9658976634131914,0.9254253765683205,0.5932222222222222,0.3726754411909692,0.33220315434609826
leave_out_ghostbuster,deep_dmd_best_available,,0.9556666432966344,0.6894222222222223,,0.26624442107441215
leave_out_hc3_plus,deep_dmd_best_available,,0.9767858726386797,0.6134222222222222,,0.36336365041645746
leave_out_m4,deep_dmd_best_available,,0.945460236569548,0.4843243243243244,,0.46113591224522366
m4,deep_dmd_best_available,0.994937383426592,0.926381216838182,0.6707555555555555,0.32418182787103644,0.2556256612826264
