feature_set,n_features,best_model,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,fpr_at_tpr_95pct,ece,brier_score,external_test_rows
basic_only,36,random_forest,0.5406666666666666,0.5352921228696731,0.6195652173913043,0.0,0.06666666666666667,0.92,0.15416666666666662,0.28612025925925927,300
probability_only,36,random_forest,0.5363777777777777,0.559197417490169,0.49056603773584906,0.02,0.08666666666666667,0.9533333333333334,0.17653333333333338,0.2969333333333334,300
scale_response_only,204,random_forest,0.5594,0.5795395546866942,0.5654761904761905,0.013333333333333334,0.11333333333333333,0.9666666666666667,0.11574444444444446,0.2647543333333333,300
basic_plus_probability,72,random_forest,0.5525333333333333,0.5658506492934303,0.5342465753424658,0.03333333333333333,0.08666666666666667,0.9,0.15070000000000003,0.27810396296296297,300
basic_plus_scale_response,240,random_forest,0.6252222222222223,0.6154962399578228,0.6048109965635738,0.013333333333333334,0.04666666666666667,0.94,0.07645555555555551,0.2458988518518518,300
full_cleaned,276,random_forest,0.6334222222222223,0.6223868829089874,0.6033898305084746,0.02,0.06666666666666667,0.9533333333333334,0.06233333333333332,0.24400992592592596,300
