status,experiment,model,train_source,feature_set,test_set,best_model,n_features,positive_class_rate,mean_ai_probability_human,mean_ai_probability_ai,auroc,auprc,accuracy,balanced_accuracy,precision,recall,tpr,specificity,tnr,f1,mcc,fpr,fnr,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tpr_at_fpr_10pct,fpr_at_tpr_90pct,fpr_at_tpr_95pct,brier_score,expected_calibration_error,ECE,log_loss
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,strict_koopman_spectral_only,all_samples,RandomForest,39,0.5,0.5959111111111112,0.6258666666666667,0.5202666666666667,0.5133401846972894,0.5366666666666666,0.5366666666666666,0.5248868778280543,0.7733333333333333,0.7733333333333333,0.3,0.3,0.6253369272237197,0.08324976239880903,0.7,0.22666666666666666,0.02,0.06,0.08666666666666667,0.84,0.9,0.2932572592592592,0.17986666666666667,0.17986666666666667,0.8148525846201746
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,strict_koopman_spectral_only,m4_test,RandomForest,39,0.85,0.6165185185185185,0.8206013071895425,0.8086710239651417,0.9603416024762945,0.8366666666666667,0.5745098039215686,0.8705035971223022,0.9490196078431372,0.9490196078431372,0.2,0.2,0.9080675422138836,0.2041202186726938,0.8,0.050980392156862744,0.3058823529411765,0.4235294117647059,0.5254901960784314,0.5777777777777777,0.8222222222222222,0.11665685185185187,0.06750000000000002,0.06750000000000002,0.36801676472174105
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,strict_koopman_spectral_only,ghostbuster_test,RandomForest,39,0.5766666666666667,0.6710761154855643,0.888805394990366,0.8408811615311091,0.8825738856959882,0.65,0.5866141732283464,0.6223021582733813,1.0,1.0,0.1732283464566929,0.1732283464566929,0.7671840354767184,0.3283296725459474,0.8267716535433071,0.0,0.27167630057803466,0.5260115606936416,0.6069364161849711,0.5590551181102362,0.6377952755905512,0.22605699999999998,0.21996666666666667,0.21996666666666667,0.6487466034076808
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,strict_koopman_spectral_only,hc3_plus_test,RandomForest,39,0.6052631578947368,0.38342857142857145,0.8902898550724638,0.9457556935817806,0.9598615412097918,0.8533834586466166,0.820910973084886,0.8177083333333334,0.9751552795031055,0.9751552795031055,0.6666666666666666,0.6666666666666666,0.8895184135977338,0.7000929050689643,0.3333333333333333,0.024844720496894408,0.4968944099378882,0.6459627329192547,0.8509316770186336,0.1523809523809524,0.26666666666666666,0.10444866332497912,0.10226817042606513,0.10226817042606513,0.33496215866699464
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,full_plus_strict_koopman,all_samples,RandomForest,315,0.5,0.4384444444444444,0.5160444444444443,0.6183777777777777,0.6340883081383675,0.5766666666666667,0.5766666666666667,0.5827338129496403,0.54,0.54,0.6133333333333333,0.6133333333333333,0.5605536332179931,0.15374730004564566,0.38666666666666666,0.46,0.02666666666666667,0.2,0.25333333333333335,0.7666666666666667,0.8466666666666667,0.2412723703703704,0.08422222222222224,0.08422222222222224,0.6744654791302935
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,full_plus_strict_koopman,m4_test,RandomForest,315,0.85,0.43244444444444446,0.9083398692810457,0.9655337690631809,0.9939164580263553,0.92,0.7973856209150327,0.9358490566037736,0.9725490196078431,0.9725490196078431,0.6222222222222222,0.6222222222222222,0.9538461538461539,0.6615601689912328,0.37777777777777777,0.027450980392156862,0.7176470588235294,0.8431372549019608,0.9254901960784314,0.06666666666666667,0.15555555555555556,0.05675451851851852,0.06671111111111117,0.06671111111111117,0.19496981289264811
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,full_plus_strict_koopman,ghostbuster_test,RandomForest,315,0.5766666666666667,0.42246719160104984,0.8579961464354529,0.9382595239178918,0.9590260490542142,0.84,0.8235856356105775,0.817258883248731,0.930635838150289,0.930635838150289,0.7165354330708661,0.7165354330708661,0.8702702702702703,0.6734299337596196,0.28346456692913385,0.06936416184971098,0.653179190751445,0.7398843930635838,0.791907514450867,0.2283464566929134,0.36220472440944884,0.12078696296296296,0.11455555555555554,0.11455555555555554,0.36852650079568144
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,full_plus_strict_koopman,hc3_plus_test,RandomForest,315,0.6052631578947368,0.3073968253968254,0.9016563146997931,0.970452528837622,0.9814161159466704,0.9172932330827067,0.9035196687370601,0.9017341040462428,0.968944099378882,0.968944099378882,0.8380952380952381,0.8380952380952381,0.9341317365269461,0.8272518855917719,0.1619047619047619,0.031055900621118012,0.7018633540372671,0.84472049689441,0.8944099378881988,0.10476190476190476,0.12380952380952381,0.07623153717627403,0.08134085213032584,0.08134085213032584,0.2559724736309635
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,transition_plus_strict_koopman,all_samples,RandomForest,529,0.5,0.6648888888888889,0.6906,0.5353333333333332,0.5333360206870439,0.5533333333333333,0.5533333333333333,0.5317460317460317,0.8933333333333333,0.8933333333333333,0.21333333333333335,0.21333333333333335,0.6666666666666666,0.14547859349066158,0.7866666666666666,0.10666666666666667,0.03333333333333333,0.06,0.08,0.8,0.88,0.2874758148148148,0.18732222222222222,0.18732222222222222,0.7861555486949734
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,transition_plus_strict_koopman,m4_test,RandomForest,529,0.85,0.7204444444444444,0.7597385620915031,0.6231372549019608,0.9107007654327037,0.8,0.5254901960784314,0.8571428571428571,0.9176470588235294,0.9176470588235294,0.13333333333333333,0.13333333333333333,0.8863636363636364,0.0636086697675111,0.8666666666666667,0.08235294117647059,0.06666666666666667,0.2784313725490196,0.3058823529411765,0.8222222222222222,0.9111111111111111,0.14176007407407407,0.09615555555555545,0.09615555555555545,0.45281257201342917
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,transition_plus_strict_koopman,ghostbuster_test,RandomForest,529,0.5766666666666667,0.7245931758530183,0.808092485549133,0.7328296390696828,0.7456511410900764,0.6266666666666667,0.5590551181102362,0.6070175438596491,1.0,1.0,0.11811023622047244,0.11811023622047244,0.7554585152838428,0.2677591931105899,0.8818897637795275,0.0,0.028901734104046242,0.13872832369942195,0.2774566473988439,0.5748031496062992,0.5905511811023622,0.2512887777777778,0.19607777777777774,0.19607777777777774,0.7065854934176713
