train_name,model_name,experiment,feature_set,test_set,latent_dim,hidden_dim,positive_class_rate,mean_ai_probability_human,mean_ai_probability_ai,auroc,auprc,accuracy,balanced_accuracy,precision,recall,tpr,specificity,tnr,f1,mcc,fpr,fnr,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tpr_at_fpr_10pct,fpr_at_tpr_90pct,fpr_at_tpr_95pct,brier_score,expected_calibration_error,ECE,log_loss,best_model,n_features,train_source
leave_out_ghostbuster,qwen25_1_5b,leave_out_ghostbuster_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,deep_dmd_score_only,all_samples,8.0,64.0,0.5033557046979866,0.4424488998546794,0.4568812861045201,0.5162162162162162,0.540778123487447,0.540268456375839,0.5414864864864866,0.5684210526315789,0.36,0.36,0.722972972972973,0.722972972972973,0.4408163265306122,0.0890232237359208,0.277027027027027,0.64,0.02,0.0866666666666666,0.14,0.9391891891891893,0.9797297297297296,0.268141770112068,0.1058562369454627,0.1058562369454627,0.7412170690919255,,,leave_out_ghostbuster
leave_out_ghostbuster,qwen25_1_5b,leave_out_ghostbuster_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,deep_dmd_score_only,m4_test,8.0,64.0,0.8488549618320611,0.5939367544972134,0.9300430815139834,0.9256513980734604,0.986386714444024,0.8783715012722646,0.6640626892425453,0.8945334069574821,0.9712230215827338,0.9712230215827338,0.3569023569023569,0.3569023569023569,0.9313020983041104,0.4373171246171081,0.6430976430976431,0.0287769784172661,0.6372901678657075,0.7470023980815348,0.8111510791366906,0.2525252525252525,0.4713804713804714,0.0790362997778509,0.0303873160564868,0.0303873160564868,0.2426322092094671,,,leave_out_ghostbuster
leave_out_ghostbuster,qwen25_1_5b,leave_out_ghostbuster_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,deep_dmd_score_only,ghostbuster_test,8.0,64.0,0.5776119402985075,0.5479571938304092,0.8483131594898164,0.8695501319381669,0.9097074855605358,0.735820895522388,0.6996238164370303,0.705078125,0.9328165374677002,0.9328165374677002,0.4664310954063604,0.4664310954063604,0.8031145717463849,0.4645447178001024,0.5335689045936396,0.0671834625322997,0.3333333333333333,0.5917312661498708,0.6640826873385013,0.431095406360424,0.6219081272084805,0.1734707800357234,0.1438344456366638,0.1438344456366638,0.512718902799387,,,leave_out_ghostbuster
leave_out_ghostbuster,qwen25_1_5b,leave_out_ghostbuster_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,deep_dmd_score_only,hc3_plus_test,8.0,64.0,0.6052631578947368,0.5230358292659124,0.8767926494897522,0.8824608104111209,0.93678567192627,0.7481203007518797,0.7091097308488613,0.7422680412371134,0.8944099378881988,0.8944099378881988,0.5238095238095238,0.5238095238095238,0.8112676056338028,0.4600920330236859,0.4761904761904761,0.1055900621118012,0.6521739130434783,0.7204968944099379,0.7267080745341615,0.4952380952380952,0.6761904761904762,0.1593760654212609,0.1318886415066575,0.1318886415066575,0.4799951660766366,,,leave_out_ghostbuster
leave_out_ghostbuster,qwen25_1_5b,leave_out_ghostbuster_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,deep_dmd_spectral_features_only,all_samples,8.0,64.0,0.5,0.6580666666666667,0.6741111111111112,0.5261777777777779,0.5219735395917736,0.52,0.52,0.5115384615384615,0.8866666666666667,0.8866666666666667,0.1533333333333333,0.1533333333333333,0.6487804878048781,0.0588348405414552,0.8466666666666667,0.1133333333333333,0.0133333333333333,0.0533333333333333,0.1066666666666666,0.8533333333333334,0.9466666666666668,0.2902124444444444,0.1863777777777776,0.1863777777777776,0.7966134409175516,random_forest,,leave_out_ghostbuster
leave_out_ghostbuster,qwen25_1_5b,leave_out_ghostbuster_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,deep_dmd_spectral_features_only,m4_test,8.0,64.0,0.8488549618320611,0.5864085297418631,0.9066626698641088,0.8959589903834508,0.9778667997033114,0.8717557251908397,0.6712357386817819,0.8973063973063973,0.95863309352518,0.95863309352518,0.3838383838383838,0.3838383838383838,0.9269565217391303,0.422105742329683,0.6161616161616161,0.0413669064748201,0.2523980815347721,0.6067146282973621,0.7446043165467626,0.3131313131313131,0.5723905723905723,0.0845323324851569,0.0134944868532655,0.0134944868532655,0.2858387491930411,random_forest,,leave_out_ghostbuster
leave_out_ghostbuster,qwen25_1_5b,leave_out_ghostbuster_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,deep_dmd_spectral_features_only,ghostbuster_test,8.0,64.0,0.5776119402985075,0.5479740871613664,0.8343755383290267,0.8536536372019978,0.8846963952350448,0.7253731343283583,0.6872563252709526,0.6955684007707129,0.9328165374677002,0.9328165374677002,0.4416961130742049,0.4416961130742049,0.7969094922737306,0.4427341679362697,0.558303886925795,0.0671834625322997,0.1834625322997416,0.4806201550387597,0.6459948320413437,0.4381625441696113,0.6183745583038869,0.1768487562189054,0.1357910447761194,0.1357910447761194,0.6199380822630157,random_forest,,leave_out_ghostbuster
leave_out_ghostbuster,qwen25_1_5b,leave_out_ghostbuster_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,deep_dmd_spectral_features_only,hc3_plus_test,8.0,64.0,0.6052631578947368,0.6645396825396824,0.8988198757763975,0.8570541259982254,0.9175538153977102,0.6616541353383458,0.5830227743271221,0.6497890295358649,0.9565217391304348,0.9565217391304348,0.2095238095238095,0.2095238095238095,0.7738693467336684,0.2604123958240115,0.7904761904761904,0.0434782608695652,0.5714285714285714,0.6335403726708074,0.7142857142857143,0.580952380952381,0.7238095238095238,0.2092958228905597,0.2010776942355889,0.2010776942355889,0.6009319356501062,random_forest,,leave_out_ghostbuster
leave_out_ghostbuster,qwen25_1_5b,leave_out_ghostbuster_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,full_plus_deep_dmd_spectral,all_samples,8.0,64.0,0.5,0.5725111111111111,0.6576888888888889,0.659,0.6302058137263065,0.58,0.58,0.5535714285714286,0.8266666666666667,0.8266666666666667,0.3333333333333333,0.3333333333333333,0.6631016042780749,0.1839418018454897,0.6666666666666666,0.1733333333333333,0.0133333333333333,0.0533333333333333,0.2333333333333333,0.76,0.9066666666666666,0.2472627037037037,0.1190555555555556,0.1190555555555556,0.7064027513077829,random_forest,,leave_out_ghostbuster
leave_out_ghostbuster,qwen25_1_5b,leave_out_ghostbuster_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,full_plus_deep_dmd_spectral,m4_test,8.0,64.0,0.8488549618320611,0.2365881032547699,0.9660211830535572,0.992703816744584,0.9986420872200849,0.971501272264631,0.9195613206404574,0.9730046948356808,0.9940047961630696,0.9940047961630696,0.8451178451178452,0.8451178451178452,0.9833926453143536,0.8856184148604087,0.1548821548821548,0.0059952038369304,0.8327338129496403,0.9694244604316546,0.9898081534772182,0.0269360269360269,0.037037037037037,0.023748854961832,0.0318659881255302,0.0318659881255302,0.0895129718689935,random_forest,,leave_out_ghostbuster
