subgroup_column,subgroup_value,n,positive_class_rate,mean_ai_probability_human,mean_ai_probability_ai,auroc,auprc,accuracy,balanced_accuracy,precision,recall,tpr,specificity,tnr,f1,mcc,fpr,fnr,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tpr_at_fpr_10pct,fpr_at_tpr_90pct,fpr_at_tpr_95pct,brier_score,expected_calibration_error,ECE,log_loss
source_dataset,external_all_samples,300,0.5,0.6427777777777777,0.7164666666666668,0.7119777777777777,0.6860197864224458,0.5333333333333333,0.5333333333333333,0.5174825174825175,0.9866666666666667,0.9866666666666667,0.08,0.08,0.6788990825688074,0.15803488531025348,0.92,0.013333333333333334,0.013333333333333334,0.14,0.32,0.6933333333333334,0.84,0.25689111111111107,0.17962222222222224,0.17962222222222224,0.719898604803592
domain,unknown,300,0.5,0.6427777777777777,0.7164666666666668,0.7119777777777777,0.6860197864224458,0.5333333333333333,0.5333333333333333,0.5174825174825175,0.9866666666666667,0.9866666666666667,0.08,0.08,0.6788990825688074,0.15803488531025348,0.92,0.013333333333333334,0.013333333333333334,0.14,0.32,0.6933333333333334,0.84,0.25689111111111107,0.17962222222222224,0.17962222222222224,0.719898604803592
generator,unknown,300,0.5,0.6427777777777777,0.7164666666666668,0.7119777777777777,0.6860197864224458,0.5333333333333333,0.5333333333333333,0.5174825174825175,0.9866666666666667,0.9866666666666667,0.08,0.08,0.6788990825688074,0.15803488531025348,0.92,0.013333333333333334,0.013333333333333334,0.14,0.32,0.6933333333333334,0.84,0.25689111111111107,0.17962222222222224,0.17962222222222224,0.719898604803592
