metric,mean,ci_low,ci_high,n_bootstrap
auroc,0.7115948679037775,0.6536060754092704,0.768310887989896,1000
auprc,0.6925739002859593,0.6090830460424499,0.7745959869440968,1000
f1,0.6798717097210085,0.6320693093712185,0.7260586327103709,1000
mcc,0.15854692489226468,0.05910304296715598,0.2325110184170964,1000
tpr_at_fpr_5pct,0.15526419830321164,0.020968244084682442,0.31699169375225705,1000
ECE,0.18329837777777777,0.13334138888888888,0.23229166666666667,1000
brier_score,0.25636270229629626,0.2352858296296296,0.2783473185185185,1000
