precision,recall,threshold
0.5,1.0,0.4133333333333333
0.5016722408026756,1.0,0.4266666666666667
0.5033557046979866,1.0,0.4333333333333333
0.5050505050505051,1.0,0.44
0.5067567567567568,1.0,0.45
0.5084745762711864,1.0,0.4666666666666667
0.5068027210884354,0.9933333333333333,0.4733333333333333
0.5085324232081911,0.9933333333333333,0.4833333333333333
0.5137931034482759,0.9933333333333333,0.49
0.5173611111111112,0.9933333333333333,0.4966666666666666
0.5174825174825175,0.9866666666666667,0.5033333333333333
0.519298245614035,0.9866666666666667,0.5066666666666667
0.5176056338028169,0.98,0.51
0.5159010600706714,0.9733333333333334,0.5166666666666667
0.5195729537366548,0.9733333333333334,0.52
0.5214285714285715,0.9733333333333334,0.5233333333333333
0.5197132616487455,0.9666666666666667,0.5266666666666666
0.51985559566787,0.96,0.5333333333333333
0.5236363636363637,0.96,0.5366666666666666
0.5255474452554745,0.96,0.54
0.5274725274725275,0.96,0.5433333333333333
0.5315985130111525,0.9533333333333334,0.5466666666666666
0.5338345864661654,0.9466666666666667,0.55
0.5358490566037736,0.9466666666666667,0.5533333333333333
0.5363984674329502,0.9333333333333333,0.5566666666666666
0.5348837209302325,0.92,0.5633333333333334
0.5390625,0.92,0.57
0.5433070866141733,0.92,0.5733333333333334
0.545816733067729,0.9133333333333333,0.5766666666666667
0.548,0.9133333333333333,0.58
0.556910569105691,0.9133333333333333,0.5833333333333334
0.5619834710743802,0.9066666666666666,0.5866666666666667
0.5648535564853556,0.9,0.59
0.5654008438818565,0.8933333333333333,0.5933333333333334
0.5646551724137931,0.8733333333333333,0.5966666666666667
0.5701754385964912,0.8666666666666667,0.6
0.5733333333333334,0.86,0.6033333333333334
0.579185520361991,0.8533333333333334,0.6066666666666667
0.576036866359447,0.8333333333333334,0.61
0.5747663551401869,0.82,0.6133333333333333
0.5754716981132075,0.8133333333333334,0.6166666666666667
0.5789473684210527,0.8066666666666666,0.62
0.5845410628019324,0.8066666666666666,0.6233333333333333
0.594059405940594,0.8,0.6266666666666667
0.5959595959595959,0.7866666666666666,0.63
0.5939086294416244,0.78,0.6333333333333333
0.5979381443298969,0.7733333333333333,0.6366666666666667
0.6010362694300518,0.7733333333333333,0.64
0.6096256684491979,0.76,0.6433333333333333
0.6162162162162163,0.76,0.6466666666666666
0.6243093922651933,0.7533333333333333,0.65
0.6235955056179775,0.74,0.6533333333333333
0.632183908045977,0.7333333333333333,0.6566666666666666
0.631578947368421,0.72,0.66
0.6407185628742516,0.7133333333333334,0.6633333333333333
0.6524390243902439,0.7133333333333334,0.6666666666666666
0.6540880503144654,0.6933333333333334,0.67
0.6518987341772152,0.6866666666666666,0.6733333333333333
0.6493506493506493,0.6666666666666666,0.6766666666666666
0.6510067114093959,0.6466666666666666,0.68
0.6554054054054054,0.6466666666666666,0.6833333333333333
0.6575342465753424,0.64,0.6866666666666666
0.6619718309859155,0.6266666666666667,0.69
0.6762589928057554,0.6266666666666667,0.6933333333333334
0.6888888888888889,0.62,0.6966666666666667
0.7,0.6066666666666667,0.7
0.7063492063492064,0.5933333333333334,0.7033333333333334
0.7096774193548387,0.5866666666666667,0.7066666666666667
0.7154471544715447,0.5866666666666667,0.71
0.7142857142857143,0.5666666666666667,0.7133333333333334
0.711864406779661,0.56,0.7166666666666667
0.7321428571428571,0.5466666666666666,0.72
0.7387387387387387,0.5466666666666666,0.7233333333333334
0.7383177570093458,0.5266666666666666,0.7266666666666667
0.7450980392156863,0.5066666666666667,0.73
0.7422680412371134,0.48,0.7333333333333333
0.7553191489361702,0.47333333333333333,0.7366666666666667
0.7608695652173914,0.4666666666666667,0.74
0.7528089887640449,0.44666666666666666,0.7433333333333333
0.7619047619047619,0.4266666666666667,0.7466666666666667
0.7682926829268293,0.42,0.75
0.7625,0.4066666666666667,0.7533333333333333
0.782051282051282,0.4066666666666667,0.7566666666666667
0.7702702702702703,0.38,0.76
0.7638888888888888,0.36666666666666664,0.7633333333333333
0.7605633802816901,0.36,0.7666666666666667
0.7681159420289855,0.35333333333333333,0.77
0.7741935483870968,0.32,0.7733333333333333
0.7636363636363637,0.28,0.7766666666666666
0.7547169811320755,0.26666666666666666,0.78
0.7551020408163265,0.24666666666666667,0.7833333333333333
0.7446808510638298,0.23333333333333334,0.7866666666666666
0.75,0.22,0.79
0.7380952380952381,0.20666666666666667,0.7933333333333333
0.7222222222222222,0.17333333333333334,0.7966666666666666
0.7428571428571429,0.17333333333333334,0.8
0.7419354838709677,0.15333333333333332,0.8033333333333333
0.7241379310344828,0.14,0.8066666666666666
0.75,0.14,0.81
0.7692307692307693,0.13333333333333333,0.8166666666666667
0.782608695652174,0.12,0.82
0.75,0.1,0.8233333333333334
0.7368421052631579,0.09333333333333334,0.8266666666666667
0.7777777777777778,0.09333333333333334,0.83
0.7647058823529411,0.08666666666666667,0.8333333333333334
0.7142857142857143,0.06666666666666667,0.8466666666666667
0.6923076923076923,0.06,0.8533333333333334
0.6666666666666666,0.05333333333333334,0.87
0.6363636363636364,0.04666666666666667,0.8833333333333333
0.6,0.04,0.8866666666666667
0.5555555555555556,0.03333333333333333,0.9
0.5,0.02666666666666667,0.91
0.42857142857142855,0.02,0.9133333333333332
0.5,0.02,0.92
0.4,0.013333333333333334,0.95
0.5,0.013333333333333334,0.9666666666666668
0.6666666666666666,0.013333333333333334,0.9833333333333332
1.0,0.013333333333333334,0.9933333333333332
1.0,0.006666666666666667,1.0
1.0,0.0,
