bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,0,,,
4,0.4,0.5,14,0.4661904761904762,0.14285714285714285,0.32333333333333336
5,0.5,0.6000000000000001,61,0.5631147540983605,0.3114754098360656,0.25163934426229495
6,0.6000000000000001,0.7000000000000001,99,0.6530639730639731,0.40404040404040403,0.2490235690235691
7,0.7000000000000001,0.8,91,0.7511721611721612,0.6923076923076923,0.058864468864468944
8,0.8,0.9,26,0.8255128205128206,0.8076923076923077,0.01782051282051289
9,0.9,1.0,9,0.9485185185185185,0.5555555555555556,0.39296296296296296
