bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,2,0.265,0.0,0.265
3,0.30000000000000004,0.4,12,0.36944444444444446,0.25,0.11944444444444446
4,0.4,0.5,40,0.45408333333333334,0.325,0.12908333333333333
5,0.5,0.6000000000000001,51,0.5523529411764706,0.4117647058823529,0.14058823529411768
6,0.6000000000000001,0.7000000000000001,60,0.6520555555555556,0.45,0.2020555555555556
7,0.7000000000000001,0.8,68,0.7402450980392158,0.5147058823529411,0.22553921568627466
8,0.8,0.9,50,0.8383333333333336,0.82,0.018333333333333646
9,0.9,1.0,17,0.9386274509803921,0.5882352941176471,0.35039215686274505
