fpr,tpr,threshold
0.0,0.0,inf
0.0,0.006666666666666667,0.9866666666666667
0.0,0.02,0.9833333333333333
0.006666666666666667,0.02666666666666667,0.9766666666666667
0.006666666666666667,0.04,0.97
0.006666666666666667,0.06,0.9666666666666667
0.006666666666666667,0.07333333333333333,0.96
0.006666666666666667,0.08,0.9533333333333334
0.02,0.09333333333333334,0.9466666666666667
0.03333333333333333,0.10666666666666667,0.9366666666666666
0.04,0.10666666666666667,0.93
0.04,0.11333333333333333,0.9266666666666666
0.06666666666666667,0.15333333333333332,0.92
0.06666666666666667,0.16,0.9166666666666666
0.1,0.17333333333333334,0.9133333333333333
0.1,0.18,0.91
0.12,0.18666666666666668,0.9066666666666666
0.13333333333333333,0.2,0.9033333333333333
0.15333333333333332,0.20666666666666667,0.9
0.15333333333333332,0.21333333333333335,0.8966666666666666
0.18,0.24,0.8933333333333333
0.19333333333333333,0.24666666666666667,0.89
0.21333333333333335,0.26666666666666666,0.8866666666666667
0.22666666666666666,0.2866666666666667,0.8833333333333333
0.23333333333333334,0.2866666666666667,0.88
0.25333333333333335,0.29333333333333333,0.8766666666666667
0.2733333333333333,0.30666666666666664,0.8733333333333333
0.28,0.31333333333333335,0.87
0.31333333333333335,0.34,0.8666666666666667
0.34,0.35333333333333333,0.8633333333333333
0.3466666666666667,0.37333333333333335,0.86
0.35333333333333333,0.4,0.8566666666666667
0.36,0.41333333333333333,0.8533333333333334
0.37333333333333335,0.43333333333333335,0.85
0.4,0.44666666666666666,0.8466666666666667
0.43333333333333335,0.4666666666666667,0.8433333333333334
0.44,0.48,0.84
0.46,0.5,0.8366666666666667
0.47333333333333333,0.52,0.8333333333333334
0.4866666666666667,0.5466666666666666,0.83
0.5133333333333333,0.5533333333333333,0.8266666666666667
0.5266666666666666,0.5666666666666667,0.8233333333333334
0.54,0.5733333333333334,0.82
0.5666666666666667,0.5866666666666667,0.8166666666666667
0.5733333333333334,0.6,0.8133333333333334
0.5866666666666667,0.62,0.81
0.6,0.62,0.8066666666666666
0.6066666666666667,0.6466666666666666,0.8033333333333333
0.62,0.68,0.8
0.6266666666666667,0.7066666666666667,0.7966666666666666
0.6533333333333333,0.7066666666666667,0.7933333333333333
0.6533333333333333,0.72,0.79
0.6666666666666666,0.7266666666666667,0.7866666666666666
0.6666666666666666,0.7333333333333333,0.7833333333333333
0.6733333333333333,0.74,0.78
0.6933333333333334,0.7533333333333333,0.7766666666666666
0.72,0.7533333333333333,0.7733333333333333
0.7266666666666667,0.76,0.77
0.74,0.76,0.7666666666666667
0.7666666666666667,0.7733333333333333,0.76
0.78,0.7733333333333333,0.7566666666666667
0.78,0.78,0.7533333333333333
0.8,0.78,0.7433333333333333
0.82,0.7933333333333333,0.74
0.82,0.8,0.7366666666666667
0.8333333333333334,0.8066666666666666,0.7333333333333333
0.8333333333333334,0.82,0.73
0.84,0.82,0.7266666666666667
0.8466666666666667,0.8333333333333334,0.7233333333333334
0.8533333333333334,0.8333333333333334,0.72
0.8533333333333334,0.8466666666666667,0.7166666666666667
0.8666666666666667,0.86,0.7066666666666667
0.88,0.86,0.7033333333333334
0.88,0.8666666666666667,0.7
0.8866666666666667,0.8666666666666667,0.6933333333333334
0.8866666666666667,0.88,0.6833333333333333
0.8933333333333333,0.88,0.6766666666666666
0.9066666666666666,0.8866666666666667,0.6733333333333333
0.9066666666666666,0.8933333333333333,0.67
0.9133333333333333,0.8933333333333333,0.6666666666666666
0.9133333333333333,0.9,0.6633333333333333
0.92,0.9066666666666666,0.66
0.9266666666666666,0.9066666666666666,0.6566666666666666
0.9266666666666666,0.92,0.6533333333333333
0.9266666666666666,0.9266666666666666,0.65
0.9333333333333333,0.9266666666666666,0.6466666666666666
0.9333333333333333,0.9333333333333333,0.64
0.94,0.94,0.6366666666666667
0.9466666666666667,0.94,0.6266666666666667
0.9466666666666667,0.9533333333333334,0.6033333333333334
0.9533333333333334,0.9533333333333334,0.5933333333333334
0.9533333333333334,0.96,0.56
0.9666666666666667,0.96,0.5466666666666666
0.9666666666666667,0.9666666666666667,0.5366666666666666
0.9666666666666667,0.98,0.4866666666666667
0.98,0.98,0.4766666666666667
0.9933333333333333,0.98,0.42333333333333334
0.9933333333333333,0.9933333333333333,0.41333333333333333
1.0,0.9933333333333333,0.36666666666666664
1.0,1.0,0.35
