bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,2,0.3583333333333333,0.5,0.14166666666666672
4,0.4,0.5,8,0.45166666666666666,0.5,0.04833333333333334
5,0.5,0.6000000000000001,5,0.5573333333333335,0.4,0.15733333333333344
6,0.6000000000000001,0.7000000000000001,24,0.6580555555555555,0.5833333333333334,0.07472222222222213
7,0.7000000000000001,0.8,66,0.7568181818181818,0.4090909090909091,0.3477272727272727
8,0.8,0.9,141,0.8473522458628843,0.5035460992907801,0.3438061465721042
9,0.9,1.0,54,0.9315432098765432,0.5740740740740741,0.3574691358024691
