experiment,model,train_source,loss_mode,dmd_rank,feature_set,best_model,test_set,n_features,positive_class_rate,auroc,auprc,f1,mcc,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tpr_at_fpr_10pct,ECE,brier_score,log_loss,public_mean_auroc,public_mean_auprc,public_mean_f1,public_mean_mcc,public_mean_tpr_at_fpr_5pct,public_mean_ECE,public_mean_brier_score
leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,32,full_plus_transition_plus_strict_koopman,RandomForest,all_samples,805,0.5,0.6576888888888889,0.656414569086135,0.6619385342789598,0.0815332650783714,0.0133333333333333,0.2066666666666666,0.3133333333333333,0.1798888888888888,0.2656464444444444,0.7415308733121047,0.9437517142564222,0.9648187251778207,0.8593329842764058,0.6070715010428874,0.8195809475006541,0.09834306903942851,0.11089439456258826
leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,16,full_plus_strict_koopman,RandomForest,all_samples,315,0.5,0.6298666666666667,0.6346702712073979,0.6483790523690773,0.0811535661125747,0.0133333333333333,0.1733333333333333,0.2533333333333333,0.1695222222222222,0.2656019629629629,0.7438119787046886,0.9482523215305826,0.9667945910764718,0.8755852725227585,0.6689384160743025,0.8185437494291725,0.08878381292438363,0.101481890522093
leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,16,full_plus_transition_plus_strict_koopman,RandomForest,all_samples,805,0.5,0.6632000000000001,0.6497641142618736,0.6696629213483146,0.0781133465884943,0.0133333333333333,0.1466666666666666,0.2466666666666666,0.2047333333333334,0.2748877777777777,0.7656724959608632,0.940698457751513,0.9626623196193705,0.8542032081252532,0.5938627005149671,0.8039911371013931,0.10447502375373068,0.11519527109552892
leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,16,full_plus_transition_plus_strict_koopman,RandomForest,all_samples,805,0.5,0.7119777777777777,0.6860197864224458,0.6788990825688074,0.1580348853102534,0.0133333333333333,0.14,0.32,0.1796222222222222,0.256891111111111,0.719898604803592,0.9528146030839819,0.9690327553804684,0.8753119111574675,0.6405293235322365,0.8225486441219214,0.08909967121543431,0.0988558366666183
leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,32,full_plus_transition_plus_strict_koopman,RandomForest,all_samples,805,0.5,0.6947111111111111,0.6702199955112077,0.6825775656324582,0.1861623850973523,0.0133333333333333,0.14,0.38,0.1581777777777777,0.250802074074074,0.7105764858772486,0.9530576667565649,0.9707583067180942,0.8797168695319284,0.6562129340315761,0.8086814866081039,0.08780117546026646,0.09723607285750736
leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,32,full_plus_strict_koopman,RandomForest,all_samples,315,0.5,0.6195777777777778,0.615692037350763,0.6368421052631579,0.0945732487486921,0.0133333333333333,0.12,0.22,0.1536666666666666,0.2673314814814815,0.7512284619959769,0.9490071663433234,0.9672590159802236,0.8758615576570823,0.6714078706078165,0.8236497421543723,0.09571192235015136,0.10161738247007514
leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,16,full_plus_transition_plus_strict_koopman,RandomForest,all_samples,805,0.5,0.6856444444444445,0.6708568801705936,0.6651685393258427,0.0260377821961647,0.0133333333333333,0.1133333333333333,0.32,0.1994,0.2698467407407407,0.7492063537524271,0.9412084189312205,0.9630528402333343,0.8545647402408297,0.5840624802335631,0.7926919093546965,0.10293193565864957,0.11495225819106182
leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,16,strict_koopman_spectral_only,RandomForest,all_samples,39,0.5,0.5350444444444444,0.572843013299887,0.6590909090909091,0.0,0.08,0.1133333333333333,0.18,0.3132666666666667,0.352822,0.9895689720235232,0.8889749324793869,0.9362293362625328,0.823763118384036,0.3430022441950474,0.5895781809720022,0.16683573472310767,0.17823175278297607
leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,32,strict_koopman_spectral_only,RandomForest,all_samples,39,0.5,0.5274444444444444,0.548138238184715,0.6498855835240275,-0.0491143759444935,0.0066666666666666,0.1,0.1533333333333333,0.3231666666666666,0.3604131481481482,1.0536102133545795,0.8982779071431946,0.9409690692190775,0.8243777902472395,0.34840299508803824,0.5691662183758699,0.16702204046695926,0.17318865175346634
leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,32,full_plus_strict_koopman,RandomForest,all_samples,315,0.5,0.6441555555555556,0.6215154587548263,0.6582278481012658,0.1292191476761844,0.0133333333333333,0.0866666666666666,0.2266666666666666,0.1604555555555556,0.261457,0.7413208312393339,0.9600634714054257,0.9752337793300764,0.8988311983550311,0.716921202186284,0.8523474542143935,0.0802269223944116,0.08756134161576297
