bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,2,0.3683333333333333,1.0,0.6316666666666667
4,0.4,0.5,3,0.4711111111111112,0.3333333333333333,0.1377777777777779
5,0.5,0.6000000000000001,10,0.5596666666666665,0.5,0.059666666666666535
6,0.6000000000000001,0.7000000000000001,22,0.6590909090909091,0.5,0.15909090909090906
7,0.7000000000000001,0.8,58,0.7538505747126438,0.4827586206896552,0.27109195402298863
8,0.8,0.9,149,0.8537583892617449,0.4899328859060403,0.36382550335570457
9,0.9,1.0,56,0.9316071428571429,0.5357142857142857,0.39589285714285716
