recall,precision,threshold
1.0,0.5,0.36666666666666664
0.9933333333333333,0.4983277591973244,0.37
0.9866666666666667,0.4966442953020134,0.44
0.98,0.494949494949495,0.4866666666666667
0.98,0.49830508474576274,0.5033333333333333
0.98,0.5,0.5166666666666667
0.9733333333333334,0.49829351535836175,0.5233333333333333
0.9733333333333334,0.5,0.5466666666666666
0.9666666666666667,0.49828178694158076,0.5633333333333334
0.96,0.496551724137931,0.5733333333333334
0.96,0.4982698961937716,0.5766666666666667
0.9533333333333334,0.4965277777777778,0.5933333333333334
0.9533333333333334,0.49825783972125437,0.6
0.9466666666666667,0.4982456140350877,0.6033333333333334
0.9466666666666667,0.5,0.6133333333333333
0.94,0.49823321554770317,0.6166666666666667
0.94,0.501779359430605,0.6433333333333333
0.94,0.5035714285714286,0.6466666666666666
0.9333333333333333,0.5017921146953405,0.65
0.9333333333333333,0.5035971223021583,0.6566666666666666
0.92,0.5036496350364964,0.6633333333333333
0.9066666666666666,0.5,0.6666666666666666
0.9,0.4981549815498155,0.6733333333333333
0.8933333333333333,0.4962962962962963,0.68
0.8933333333333333,0.49814126394052044,0.6833333333333333
0.8933333333333333,0.50187265917603,0.69
0.8866666666666667,0.5018867924528302,0.6933333333333334
0.88,0.5,0.6966666666666667
0.8733333333333333,0.49809885931558934,0.7066666666666667
0.8666666666666667,0.49808429118773945,0.71
0.8466666666666667,0.49416342412451364,0.7133333333333334
0.8466666666666667,0.49609375,0.7166666666666667
0.84,0.49606299212598426,0.7233333333333334
0.8333333333333334,0.49407114624505927,0.7266666666666667
0.8333333333333334,0.49800796812749004,0.73
0.82,0.4959677419354839,0.7433333333333333
0.82,0.4979757085020243,0.7466666666666667
0.8,0.4979253112033195,0.75
0.8,0.5,0.7566666666666667
0.7866666666666666,0.5064377682403434,0.76
0.78,0.5131578947368421,0.7633333333333333
0.7666666666666667,0.5111111111111111,0.7666666666666667
0.7533333333333333,0.5067264573991032,0.77
0.7466666666666667,0.5067873303167421,0.7733333333333333
0.7266666666666667,0.5,0.7766666666666666
0.72,0.5,0.78
0.7,0.4976303317535545,0.7866666666666666
0.6933333333333334,0.49760765550239233,0.79
0.6933333333333334,0.5,0.7933333333333333
0.6933333333333334,0.5024154589371981,0.7966666666666666
0.6866666666666666,0.5024390243902439,0.8
0.6666666666666666,0.5025125628140703,0.8033333333333333
0.6533333333333333,0.5,0.8066666666666666
0.6466666666666666,0.5,0.81
0.6466666666666666,0.5078534031413613,0.8133333333333334
0.6266666666666667,0.5026737967914439,0.8166666666666667
0.62,0.5138121546961326,0.82
0.62,0.5166666666666667,0.8233333333333334
0.5933333333333334,0.5085714285714286,0.8266666666666667
0.5733333333333334,0.5058823529411764,0.83
0.5533333333333333,0.5060975609756098,0.8333333333333334
0.5533333333333333,0.50920245398773,0.8366666666666667
0.54,0.5192307692307693,0.84
0.5333333333333333,0.5194805194805194,0.8433333333333334
0.5133333333333333,0.5273972602739726,0.8466666666666667
0.5066666666666667,0.5314685314685315,0.85
0.49333333333333335,0.5362318840579711,0.8533333333333334
0.47333333333333333,0.5338345864661654,0.8566666666666667
0.4533333333333333,0.5354330708661418,0.86
0.43333333333333335,0.5371900826446281,0.8633333333333333
0.42,0.5384615384615384,0.8666666666666667
0.4,0.5309734513274337,0.87
0.38,0.5377358490566038,0.8733333333333333
0.36,0.5294117647058824,0.8766666666666667
0.34,0.5368421052631579,0.88
0.31333333333333335,0.5280898876404494,0.8833333333333333
0.3,0.5421686746987951,0.8866666666666667
0.26666666666666666,0.5405405405405406,0.89
0.26666666666666666,0.5882352941176471,0.8933333333333333
0.22666666666666666,0.5483870967741935,0.8966666666666666
0.2,0.5357142857142857,0.9
0.18,0.5192307692307693,0.9033333333333333
0.16,0.4897959183673469,0.9066666666666666
0.15333333333333332,0.48936170212765956,0.91
0.14,0.4666666666666667,0.9133333333333333
0.13333333333333333,0.47619047619047616,0.9166666666666666
0.11333333333333333,0.4722222222222222,0.92
0.11333333333333333,0.5,0.9233333333333333
0.11333333333333333,0.5483870967741935,0.9266666666666666
0.10666666666666667,0.5925925925925926,0.9333333333333333
0.07333333333333333,0.6111111111111112,0.9366666666666666
0.06,0.6428571428571429,0.94
0.05333333333333334,0.6153846153846154,0.9533333333333334
0.05333333333333334,0.8,0.9566666666666667
0.04666666666666667,0.7777777777777778,0.96
0.04,0.8571428571428571,0.9633333333333334
0.03333333333333333,0.8333333333333334,0.9666666666666667
0.02666666666666667,0.8,0.97
0.02,0.75,0.9766666666666667
0.013333333333333334,0.6666666666666666,0.9866666666666667
0.013333333333333334,1.0,0.99
0.006666666666666667,1.0,0.9933333333333333
0.0,1.0,
