bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,1,0.19666666666666666,0.0,0.19666666666666666
2,0.2,0.30000000000000004,1,0.20666666666666667,1.0,0.7933333333333333
3,0.30000000000000004,0.4,2,0.3383333333333334,0.5,0.16166666666666663
4,0.4,0.5,5,0.45666666666666667,0.4,0.05666666666666664
5,0.5,0.6000000000000001,5,0.5753333333333333,0.4,0.17533333333333323
6,0.6000000000000001,0.7000000000000001,10,0.6769999999999999,0.3,0.37699999999999995
7,0.7000000000000001,0.8,26,0.7474358974358976,0.5,0.24743589743589756
8,0.8,0.9,85,0.8601568627450982,0.5882352941176471,0.2719215686274511
9,0.9,1.0,165,0.9454141414141415,0.4727272727272727,0.47268686868686877
