fpr,tpr,threshold
0.0,0.0,inf
0.006666666666666667,0.013333333333333334,1.0
0.006666666666666667,0.03333333333333333,0.9966666666666667
0.02,0.04,0.9933333333333333
0.02666666666666667,0.08,0.99
0.06,0.08666666666666667,0.9866666666666667
0.11333333333333333,0.14,0.9833333333333333
0.12,0.18666666666666668,0.98
0.13333333333333333,0.21333333333333335,0.9766666666666667
0.17333333333333334,0.23333333333333334,0.9733333333333334
0.2,0.26,0.97
0.22666666666666666,0.2733333333333333,0.9666666666666667
0.25333333333333335,0.3,0.9633333333333334
0.2733333333333333,0.30666666666666664,0.96
0.3,0.32,0.9566666666666667
0.31333333333333335,0.37333333333333335,0.9533333333333334
0.3333333333333333,0.38666666666666666,0.95
0.34,0.4,0.9466666666666667
0.38,0.4266666666666667,0.9433333333333334
0.4066666666666667,0.4666666666666667,0.94
0.4066666666666667,0.48,0.9366666666666666
0.4266666666666667,0.5066666666666667,0.9333333333333333
0.44,0.52,0.93
0.4666666666666667,0.5266666666666666,0.9266666666666666
0.4866666666666667,0.56,0.9233333333333333
0.5066666666666667,0.5733333333333334,0.92
0.52,0.5933333333333334,0.9166666666666666
0.5333333333333333,0.6066666666666667,0.9133333333333333
0.5533333333333333,0.6133333333333333,0.91
0.5666666666666667,0.64,0.9066666666666666
0.5733333333333334,0.6466666666666666,0.9033333333333333
0.58,0.6733333333333333,0.9
0.62,0.6733333333333333,0.8933333333333333
0.6533333333333333,0.7,0.89
0.6733333333333333,0.7066666666666667,0.8866666666666667
0.7,0.7266666666666667,0.8833333333333333
0.7333333333333333,0.74,0.88
0.7533333333333333,0.7666666666666667,0.8766666666666667
0.7533333333333333,0.7733333333333333,0.8733333333333333
0.76,0.78,0.87
0.7733333333333333,0.8,0.8666666666666667
0.78,0.8,0.8633333333333333
0.78,0.8133333333333334,0.8566666666666667
0.7866666666666666,0.8266666666666667,0.8533333333333334
0.8066666666666666,0.8266666666666667,0.8466666666666667
0.8133333333333334,0.8333333333333334,0.84
0.8133333333333334,0.8466666666666667,0.8333333333333334
0.8266666666666667,0.8533333333333334,0.83
0.8333333333333334,0.86,0.8266666666666667
0.8333333333333334,0.8666666666666667,0.82
0.8533333333333334,0.8666666666666667,0.8066666666666666
0.8533333333333334,0.8733333333333333,0.8033333333333333
0.8666666666666667,0.8733333333333333,0.7966666666666666
0.8666666666666667,0.8866666666666667,0.78
0.8733333333333333,0.8933333333333333,0.7766666666666666
0.8866666666666667,0.8933333333333333,0.7666666666666667
0.8866666666666667,0.9,0.7566666666666667
0.9,0.9,0.74
0.9,0.9133333333333333,0.73
0.9,0.92,0.7233333333333334
0.9066666666666666,0.92,0.6966666666666667
0.9133333333333333,0.9266666666666666,0.69
0.92,0.9266666666666666,0.68
0.92,0.9333333333333333,0.6733333333333333
0.9333333333333333,0.94,0.6666666666666666
0.9333333333333333,0.9466666666666667,0.6466666666666666
0.9466666666666667,0.9466666666666667,0.6266666666666667
0.9466666666666667,0.9666666666666667,0.5933333333333334
0.9533333333333334,0.9733333333333334,0.59
0.96,0.9733333333333334,0.57
0.96,0.98,0.5666666666666667
0.9866666666666667,0.98,0.49333333333333335
0.9866666666666667,0.9866666666666667,0.41
0.9933333333333333,0.9933333333333333,0.4066666666666667
1.0,0.9933333333333333,0.3933333333333333
1.0,1.0,0.34
