recall,precision,threshold
1.0,0.5,0.6833333333333333
1.0,0.5016722408026756,0.7266666666666667
1.0,0.5033557046979866,0.8033333333333333
0.9933333333333333,0.5016835016835017,0.83
0.9933333333333333,0.5033783783783784,0.8733333333333333
0.9866666666666667,0.5016949152542373,0.8766666666666667
0.98,0.5017064846416383,0.88
0.9666666666666667,0.49828178694158076,0.8833333333333333
0.96,0.496551724137931,0.8933333333333333
0.96,0.4982698961937716,0.8966666666666666
0.94,0.4964788732394366,0.9
0.9133333333333333,0.48928571428571427,0.9033333333333333
0.9133333333333333,0.4910394265232975,0.9066666666666666
0.9,0.48736462093862815,0.91
0.8933333333333333,0.48905109489051096,0.9133333333333333
0.8666666666666667,0.4868913857677903,0.9166666666666666
0.84,0.4827586206896552,0.92
0.8333333333333334,0.4844961240310077,0.9233333333333333
0.8066666666666666,0.4801587301587302,0.9266666666666666
0.7933333333333333,0.4798387096774194,0.93
0.7666666666666667,0.47717842323651455,0.9333333333333333
0.7266666666666667,0.4658119658119658,0.9366666666666666
0.7,0.46875,0.94
0.6733333333333333,0.4697674418604651,0.9433333333333334
0.6533333333333333,0.48514851485148514,0.9466666666666667
0.6133333333333333,0.48677248677248675,0.95
0.5666666666666667,0.49707602339181284,0.9533333333333334
0.5133333333333333,0.5032679738562091,0.9566666666666667
0.4533333333333333,0.5112781954887218,0.96
0.3466666666666667,0.49523809523809526,0.9633333333333334
0.26,0.4431818181818182,0.9666666666666667
0.19333333333333333,0.42028985507246375,0.97
0.14666666666666667,0.38596491228070173,0.9733333333333334
0.07333333333333333,0.3333333333333333,0.9766666666666667
0.04,0.3333333333333333,0.98
0.02666666666666667,0.36363636363636365,0.9833333333333333
0.006666666666666667,0.5,0.9866666666666667
0.0,0.0,0.99
0.0,1.0,
