recall,precision,threshold
1.0,0.5,0.23
0.9933333333333333,0.4983277591973244,0.29333333333333333
0.9933333333333333,0.5,0.30333333333333334
0.9933333333333333,0.5016835016835017,0.35
0.9866666666666667,0.5,0.36
0.9866666666666667,0.5016949152542373,0.38333333333333336
0.9866666666666667,0.5034013605442177,0.4
0.98,0.5017064846416383,0.4066666666666667
0.9733333333333334,0.5,0.44
0.9666666666666667,0.49828178694158076,0.4533333333333333
0.96,0.496551724137931,0.46
0.9533333333333334,0.49480968858131485,0.47
0.9533333333333334,0.4965277777777778,0.49
0.9466666666666667,0.4965034965034965,0.49333333333333335
0.94,0.49473684210526314,0.5066666666666667
0.9333333333333333,0.49295774647887325,0.52
0.9333333333333333,0.49469964664310956,0.5233333333333333
0.9266666666666666,0.4929078014184397,0.5466666666666666
0.9266666666666666,0.49466192170818507,0.55
0.9133333333333333,0.4910394265232975,0.5533333333333333
0.9066666666666666,0.4892086330935252,0.56
0.9,0.48736462093862815,0.5666666666666667
0.8933333333333333,0.4855072463768116,0.57
0.8866666666666667,0.48363636363636364,0.5733333333333334
0.88,0.4835164835164835,0.5833333333333334
0.88,0.4852941176470588,0.6
0.88,0.4888888888888889,0.6033333333333334
0.8733333333333333,0.48698884758364314,0.6066666666666667
0.8733333333333333,0.48880597014925375,0.6233333333333333
0.8733333333333333,0.49063670411985016,0.63
0.8666666666666667,0.49056603773584906,0.64
0.8666666666666667,0.49429657794676807,0.6433333333333333
0.86,0.49236641221374045,0.6466666666666666
0.86,0.4942528735632184,0.65
0.86,0.49615384615384617,0.6566666666666666
0.8533333333333334,0.49612403100775193,0.66
0.8533333333333334,0.4980544747081712,0.6633333333333333
0.8466666666666667,0.49609375,0.67
0.8466666666666667,0.4980392156862745,0.6766666666666666
0.84,0.4980237154150198,0.68
0.8333333333333334,0.49603174603174605,0.6833333333333333
0.8266666666666667,0.496,0.6866666666666666
0.82,0.4959677419354839,0.6933333333333334
0.82,0.4979757085020243,0.6966666666666667
0.82,0.5,0.7066666666666667
0.8,0.49382716049382713,0.7166666666666667
0.8,0.4979253112033195,0.72
0.8,0.5,0.7233333333333334
0.7933333333333333,0.5021097046413502,0.7266666666666667
0.7866666666666666,0.5042735042735043,0.7333333333333333
0.78,0.5064935064935064,0.7366666666666667
0.78,0.508695652173913,0.74
0.7733333333333333,0.5110132158590308,0.7433333333333333
0.7733333333333333,0.5132743362831859,0.7466666666666667
0.76,0.5089285714285714,0.75
0.76,0.5112107623318386,0.7533333333333333
0.7533333333333333,0.5113122171945701,0.7566666666666667
0.74,0.5068493150684932,0.76
0.7333333333333333,0.5069124423963134,0.7666666666666667
0.72,0.5046728971962616,0.7733333333333333
0.72,0.5070422535211268,0.7766666666666666
0.7133333333333334,0.5119617224880383,0.78
0.7133333333333334,0.5169082125603864,0.7833333333333333
0.7066666666666667,0.5145631067961165,0.7866666666666666
0.7066666666666667,0.5221674876847291,0.79
0.7,0.5198019801980198,0.7933333333333333
0.7,0.5223880597014925,0.7966666666666666
0.6866666666666666,0.5202020202020202,0.8
0.6866666666666666,0.5255102040816326,0.8033333333333333
0.6733333333333333,0.5233160621761658,0.8066666666666666
0.6666666666666666,0.5263157894736842,0.81
0.6533333333333333,0.5212765957446809,0.8133333333333334
0.6466666666666666,0.5187165775401069,0.8166666666666667
0.6333333333333333,0.5163043478260869,0.82
0.6266666666666667,0.5222222222222223,0.8233333333333334
0.6266666666666667,0.5251396648044693,0.8266666666666667
0.6066666666666667,0.5170454545454546,0.83
0.5866666666666667,0.5146198830409356,0.8333333333333334
0.5866666666666667,0.5333333333333333,0.8366666666666667
0.5866666666666667,0.5398773006134969,0.84
0.5533333333333333,0.5253164556962026,0.8433333333333334
0.5466666666666666,0.5290322580645161,0.8466666666666667
0.54,0.5294117647058824,0.85
0.5333333333333333,0.5333333333333333,0.8533333333333334
0.5266666666666666,0.5374149659863946,0.8566666666666667
0.52,0.5379310344827586,0.86
0.5066666666666667,0.5314685314685315,0.8633333333333333
0.5,0.5357142857142857,0.8666666666666667
0.4866666666666667,0.5289855072463768,0.87
0.4666666666666667,0.5303030303030303,0.8733333333333333
0.4533333333333333,0.5271317829457365,0.8766666666666667
0.44666666666666666,0.5317460317460317,0.88
0.44,0.528,0.8833333333333333
0.4266666666666667,0.5378151260504201,0.8866666666666667
0.42,0.5431034482758621,0.89
0.42,0.5575221238938053,0.8933333333333333
0.4,0.5607476635514018,0.8966666666666666
0.4,0.5714285714285714,0.9
