bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,0,,,
4,0.4,0.5,5,0.4886666666666667,0.2,0.2886666666666667
5,0.5,0.6000000000000001,40,0.5661666666666666,0.325,0.24116666666666658
6,0.6000000000000001,0.7000000000000001,105,0.6553650793650794,0.4095238095238095,0.24584126984126986
7,0.7000000000000001,0.8,102,0.7481045751633988,0.5686274509803921,0.17947712418300665
8,0.8,0.9,39,0.8363247863247864,0.7435897435897436,0.09273504273504274
9,0.9,1.0,9,0.9548148148148149,0.6666666666666666,0.28814814814814826
