status,experiment,model,train_source,loss_mode,dmd_rank,feature_set,test_set,best_model,n_features,positive_class_rate,mean_ai_probability_human,mean_ai_probability_ai,auroc,auprc,accuracy,balanced_accuracy,precision,recall,tpr,specificity,tnr,f1,mcc,fpr,fnr,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tpr_at_fpr_10pct,fpr_at_tpr_90pct,fpr_at_tpr_95pct,brier_score,expected_calibration_error,ECE,log_loss
ok,leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,16,strict_koopman_spectral_only,all_samples,RandomForest,39,0.5,0.8714444444444442,0.8722222222222221,0.4706222222222222,0.47498041772915955,0.5033333333333333,0.5033333333333334,0.5017182130584192,0.9733333333333334,0.9733333333333334,0.03333333333333333,0.03333333333333333,0.6621315192743764,0.019540346058684974,0.9666666666666667,0.02666666666666667,0.0,0.02,0.06,0.8466666666666667,0.9266666666666666,0.4033984814814815,0.3792777777777779,0.3792777777777779,1.5149478608499278
ok,leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,16,full_plus_strict_koopman,all_samples,RandomForest,315,0.5,0.6149333333333334,0.7092666666666667,0.6782666666666666,0.6540836553554179,0.5733333333333334,0.5733333333333334,0.5447154471544715,0.8933333333333333,0.8933333333333333,0.25333333333333335,0.25333333333333335,0.6767676767676768,0.1908790423082963,0.7466666666666667,0.10666666666666667,0.013333333333333334,0.08,0.2733333333333333,0.76,0.82,0.253075962962963,0.1621000000000001,0.1621000000000001,0.7237265685307093
ok,leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,16,transition_plus_strict_koopman,all_samples,RandomForest,529,0.5,0.9492222222222224,0.9469777777777779,0.46028888888888886,0.4677444461181945,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.006666666666666667,0.02666666666666667,0.04,0.9466666666666667,0.9666666666666667,0.4529764814814815,0.4481,0.4481,1.5942697420676644
ok,leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,16,full_plus_transition_plus_strict_koopman,all_samples,RandomForest,805,0.5,0.6427777777777777,0.7164666666666668,0.7119777777777777,0.6860197864224458,0.5333333333333333,0.5333333333333333,0.5174825174825175,0.9866666666666667,0.9866666666666667,0.08,0.08,0.6788990825688074,0.15803488531025348,0.92,0.013333333333333334,0.013333333333333334,0.14,0.32,0.6933333333333334,0.84,0.25689111111111107,0.17962222222222224,0.17962222222222224,0.719898604803592
ok,leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,32,strict_koopman_spectral_only,all_samples,RandomForest,39,0.5,0.8843333333333334,0.8954222222222222,0.5422222222222223,0.5519728746025099,0.5,0.5,0.5,0.98,0.98,0.02,0.02,0.6621621621621622,0.0,0.98,0.02,0.03333333333333333,0.08,0.08666666666666667,0.8866666666666667,0.9466666666666667,0.41038314814814814,0.3935444444444445,0.3935444444444445,1.4659012494873058
ok,leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,32,full_plus_strict_koopman,all_samples,RandomForest,315,0.5,0.6202444444444445,0.7006666666666667,0.6441555555555556,0.6215154587548263,0.55,0.55,0.5306122448979592,0.8666666666666667,0.8666666666666667,0.23333333333333334,0.23333333333333334,0.6582278481012658,0.12921914767618442,0.7666666666666667,0.13333333333333333,0.013333333333333334,0.08666666666666667,0.22666666666666666,0.8,0.8066666666666666,0.261457,0.1604555555555556,0.1604555555555556,0.7413208312393339
ok,leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,32,transition_plus_strict_koopman,all_samples,RandomForest,529,0.5,0.9541111111111111,0.953288888888889,0.4755333333333333,0.4804413438143951,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.006666666666666667,0.02,0.06,0.9333333333333333,0.9733333333333334,0.4574136666666667,0.45370000000000005,0.45370000000000005,1.6697077487886858
ok,leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,32,full_plus_transition_plus_strict_koopman,all_samples,RandomForest,805,0.5,0.6189333333333333,0.6974222222222223,0.6947111111111111,0.6702199955112077,0.5566666666666666,0.5566666666666666,0.5315985130111525,0.9533333333333334,0.9533333333333334,0.16,0.16,0.6825775656324582,0.1861623850973523,0.84,0.04666666666666667,0.013333333333333334,0.14,0.38,0.7333333333333333,0.84,0.25080207407407407,0.15817777777777772,0.15817777777777772,0.7105764858772486
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,16,strict_koopman_spectral_only,all_samples,RandomForest,39,0.5,0.8038888888888889,0.8137111111111112,0.5350444444444444,0.572843013299887,0.5,0.5,0.5,0.9666666666666667,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.6590909090909091,0.0,0.9666666666666667,0.03333333333333333,0.08,0.11333333333333333,0.18,0.9133333333333333,0.9466666666666667,0.352822,0.3132666666666667,0.3132666666666667,0.9895689720235232
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,16,full_plus_strict_koopman,all_samples,RandomForest,315,0.5,0.624,0.6898,0.6298666666666667,0.6346702712073979,0.53,0.53,0.5179282868525896,0.8666666666666667,0.8666666666666667,0.19333333333333333,0.19333333333333333,0.6483790523690773,0.0811535661125747,0.8066666666666666,0.13333333333333333,0.013333333333333334,0.17333333333333334,0.25333333333333335,0.8533333333333334,0.9333333333333333,0.26560196296296296,0.1695222222222222,0.1695222222222222,0.7438119787046886
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,16,transition_plus_strict_koopman,all_samples,RandomForest,529,0.5,0.8730000000000001,0.8661555555555557,0.4534666666666667,0.48154154872037447,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.02,0.06666666666666667,0.08666666666666667,0.9466666666666667,0.98,0.3924734814814815,0.3715777777777778,0.3715777777777778,1.1462681254548441
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,16,full_plus_transition_plus_strict_koopman,all_samples,RandomForest,805,0.5,0.6704222222222223,0.7283777777777778,0.6856444444444445,0.6708568801705936,0.5033333333333333,0.5033333333333333,0.5016949152542373,0.9866666666666667,0.9866666666666667,0.02,0.02,0.6651685393258427,0.02603778219616477,0.98,0.013333333333333334,0.013333333333333334,0.11333333333333333,0.32,0.7733333333333333,0.8733333333333333,0.2698467407407407,0.19940000000000005,0.19940000000000005,0.7492063537524271
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,32,strict_koopman_spectral_only,all_samples,RandomForest,39,0.5,0.8078222222222221,0.8147555555555555,0.5453111111111111,0.5669628530596196,0.49,0.49,0.49473684210526314,0.94,0.94,0.04,0.04,0.6482758620689655,-0.04588314677411236,0.96,0.06,0.013333333333333334,0.08,0.18666666666666668,0.9466666666666667,0.9666666666666667,0.3640174814814815,0.3379333333333332,0.3379333333333332,1.0568982231853414
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,32,full_plus_strict_koopman,all_samples,RandomForest,315,0.5,0.6136444444444445,0.6817333333333333,0.6195777777777778,0.615692037350763,0.54,0.54,0.5260869565217391,0.8066666666666666,0.8066666666666666,0.2733333333333333,0.2733333333333333,0.6368421052631579,0.0945732487486921,0.7266666666666667,0.19333333333333333,0.013333333333333334,0.12,0.22,0.8466666666666667,0.9,0.2673314814814815,0.15366666666666667,0.15366666666666667,0.7512284619959769
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,32,transition_plus_strict_koopman,all_samples,RandomForest,529,0.5,0.9293777777777776,0.9262666666666668,0.48677777777777775,0.4804373059344352,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.02666666666666667,0.05333333333333334,0.9133333333333333,0.98,0.43593288888888887,0.4278222222222221,0.4278222222222221,1.4220943677436952
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,32,full_plus_transition_plus_strict_koopman,all_samples,RandomForest,805,0.5,0.6470888888888889,0.7071333333333333,0.6576888888888889,0.656414569086135,0.5233333333333333,0.5233333333333333,0.5128205128205128,0.9333333333333333,0.9333333333333333,0.11333333333333333,0.11333333333333333,0.6619385342789598,0.08153326507837143,0.8866666666666667,0.06666666666666667,0.013333333333333334,0.20666666666666667,0.31333333333333335,0.8133333333333334,0.9,0.26564644444444446,0.17988888888888885,0.17988888888888885,0.7415308733121047
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,16,strict_koopman_spectral_only,all_samples,RandomForest,39,0.5,0.8165333333333333,0.8191333333333334,0.5226222222222222,0.5404172838807619,0.49666666666666665,0.49666666666666665,0.49830508474576274,0.98,0.98,0.013333333333333334,0.013333333333333334,0.6606741573033708,-0.02603778219616477,0.9866666666666667,0.02,0.04,0.07333333333333333,0.11333333333333333,0.9066666666666666,0.96,0.3609161111111111,0.3262555555555555,0.3262555555555555,1.0269034698555755
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,16,full_plus_strict_koopman,all_samples,RandomForest,315,0.5,0.6188444444444444,0.6846444444444445,0.631,0.6201621442840691,0.5333333333333333,0.5333333333333333,0.5204918032786885,0.8466666666666667,0.8466666666666667,0.22,0.22,0.6446700507614214,0.08554823885364436,0.78,0.15333333333333332,0.013333333333333334,0.03333333333333333,0.26,0.8333333333333334,0.9,0.26404685185185184,0.15338888888888896,0.15338888888888896,0.7412784763408256
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,16,transition_plus_strict_koopman,all_samples,RandomForest,529,0.5,0.8754666666666666,0.8663333333333333,0.4459333333333333,0.46924667228212436,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.013333333333333334,0.04666666666666667,0.07333333333333333,0.9133333333333333,0.98,0.39447322222222225,0.3708999999999999,0.3708999999999999,1.1603299842881176
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,16,full_plus_transition_plus_strict_koopman,all_samples,RandomForest,805,0.5,0.6780222222222221,0.7314444444444445,0.6632000000000001,0.6497641142618736,0.51,0.51,0.5050847457627119,0.9933333333333333,0.9933333333333333,0.02666666666666667,0.02666666666666667,0.6696629213483146,0.07811334658849432,0.9733333333333334,0.006666666666666667,0.013333333333333334,0.14666666666666667,0.24666666666666667,0.7933333333333333,0.8866666666666667,0.27488777777777773,0.2047333333333334,0.2047333333333334,0.7656724959608632
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,32,strict_koopman_spectral_only,all_samples,RandomForest,39,0.5,0.8042444444444444,0.8099111111111111,0.5274444444444444,0.548138238184715,0.49,0.49,0.49477351916376305,0.9466666666666667,0.9466666666666667,0.03333333333333333,0.03333333333333333,0.6498855835240275,-0.04911437594449354,0.9666666666666667,0.05333333333333334,0.006666666666666667,0.1,0.15333333333333332,0.9,0.9666666666666667,0.3604131481481482,0.32316666666666666,0.32316666666666666,1.0536102133545795
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,32,full_plus_strict_koopman,all_samples,RandomForest,315,0.5,0.6157555555555556,0.6813777777777779,0.6161555555555555,0.6086427162742961,0.5466666666666666,0.5466666666666666,0.5296610169491526,0.8333333333333334,0.8333333333333334,0.26,0.26,0.6476683937823834,0.11391529710822088,0.74,0.16666666666666666,0.02,0.06,0.22,0.8333333333333334,0.9066666666666666,0.26739092592592595,0.1581888888888889,0.1581888888888889,0.7519092014173278
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,32,transition_plus_strict_koopman,all_samples,LogisticRegression,529,0.5,0.9260500412775718,0.9393572463298869,0.5368888888888889,0.5232402065685149,0.5,0.5,0.5,0.9866666666666667,0.9866666666666667,0.013333333333333334,0.013333333333333334,0.6636771300448431,0.0,0.9866666666666667,0.013333333333333334,0.006666666666666667,0.04,0.12666666666666668,0.8533333333333334,0.9066666666666666,0.4442770956055661,0.447234333735969,0.447234333735969,1.939914297549887
ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,32,full_plus_transition_plus_strict_koopman,all_samples,RandomForest,805,0.5,0.6682222222222223,0.7206444444444444,0.6437555555555556,0.6333083918531374,0.5066666666666667,0.5066666666666667,0.503448275862069,0.9733333333333334,0.9733333333333334,0.04,0.04,0.6636363636363637,0.037139067635410375,0.96,0.02666666666666667,0.013333333333333334,0.08,0.24666666666666667,0.8066666666666666,0.94,0.27382211111111115,0.19443333333333332,0.19443333333333332,0.7617499799817349
