epoch,train_recon,train_lin,train_multi,train_stability,train_var,train_valid_multi_steps,train_skipped_multi_steps,train_dmd_fallbacks,train_total,dev_recon,dev_lin,dev_multi,dev_stability,dev_var,dev_valid_multi_steps,dev_skipped_multi_steps,dev_dmd_fallbacks,dev_total,experiment,train_source,loss_mode,dmd_rank
1,1.5634995357960395,0.3818693923058801,0.6084011471340335,0.0,0.0046909632085407,2.0,0.0,0.0,1.945415837482865,0.4852997682731727,0.2145568712213044,0.3353671334165474,0.0,0.0047157544011864,2.0,0.0,0.0,0.6999037968481115,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,leave_out_ghostbuster,recon_lin,32
2,0.2989634057395188,0.1575516888286113,0.2455653462234065,0.0,0.0046518742495255,2.0,0.0,0.0,0.4565616132931977,0.1850956437622972,0.1145936621842777,0.1784138813331549,0.0,0.004739842596785,2.0,0.0,0.0,0.2997367043653732,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,leave_out_ghostbuster,recon_lin,32
3,0.131765085827698,0.0926751113363149,0.1442362326579606,0.0,0.0048646029323499,2.0,0.0,0.0,0.2244888432917073,0.0867712719338427,0.0745256208099557,0.1158022867778334,0.0,0.005058879592098,2.0,0.0,0.0,0.1613474813661551,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,leave_out_ghostbuster,recon_lin,32
4,0.079174813311901,0.0642820024990537,0.10014247199172,0.0,0.0052197253436591,2.0,0.0,0.0,0.1435090130911388,0.0680989795690173,0.0548522755673402,0.0852124270441107,0.0,0.0054277458738563,2.0,0.0,0.0,0.1230055323889102,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,leave_out_ghostbuster,recon_lin,32
5,0.0540214956753458,0.0493147968016101,0.0768567457347554,0.0,0.005553134562059,2.0,0.0,0.0,0.103391823888637,0.0423072751464661,0.0439575175881463,0.0683424061986622,0.0,0.0057297281969081,2.0,0.0,0.0,0.0863220898278534,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,leave_out_ghostbuster,recon_lin,32
1,2.294190690666253,0.2882688972845299,0.4314061382298512,0.0,0.0057736277116712,2.0,0.0,0.0,2.7982203923561224,0.9977191463333044,0.1701355911855553,0.2544360687524961,0.0,0.0057439093725764,2.0,0.0,0.0,1.295130210659774,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,leave_out_ghostbuster,recon_lin_multi,16
2,0.784445381051808,0.1286429905931398,0.1912715240883758,0.0,0.0058123712678274,2.0,0.0,0.0,1.008782257493544,0.6278288124376917,0.0973056630327783,0.144164914560729,0.0,0.0059018386814633,2.0,0.0,0.0,0.7972759504843815,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,leave_out_ghostbuster,recon_lin_multi,16
3,0.5592805686184019,0.0811872930042156,0.1201798186549639,0.0,0.0060186501704847,2.0,0.0,0.0,0.7006179579963319,0.4734425992874676,0.0681236262186636,0.1006017254858181,0.0,0.0061104189769681,2.0,0.0,0.0,0.5919281930759035,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,leave_out_ghostbuster,recon_lin_multi,16
4,0.418927226745749,0.0614710235797962,0.0907078813116461,0.0,0.0061301565431074,2.0,0.0,0.0,0.5258134926738959,0.3403130643913898,0.0554977884795975,0.0816631953656361,0.0,0.0061605854471457,2.0,0.0,0.0,0.43670405617048,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,leave_out_ghostbuster,recon_lin_multi,16
5,0.29044309338466,0.0510549312810481,0.0751832728504066,0.0,0.0061554132928665,2.0,0.0,0.0,0.3791512152655047,0.2333280250760428,0.0461984982447964,0.0677202910354608,0.0,0.0062004649520764,2.0,0.0,0.0,0.3134486735234119,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,leave_out_ghostbuster,recon_lin_multi,16
1,1.9519584560649568,0.2473462274998561,0.3859073249048143,0.0,0.0053156057055614,2.0,0.0,0.0,2.3923115028834907,0.7707588829283644,0.1491082986361425,0.2282701241836557,0.0,0.005343495403632,2.0,0.0,0.0,1.0340556787152595,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,leave_out_ghostbuster,recon_lin_multi,32
2,0.5627756033536903,0.1132061191367863,0.1728019037713682,0.0,0.0053942854802375,2.0,0.0,0.0,0.7624366169285477,0.4139245824934227,0.0851545760201019,0.1299284164130852,0.0,0.005515670843349,2.0,0.0,0.0,0.5640985232488862,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,leave_out_ghostbuster,recon_lin_multi,32
3,0.3568352221011733,0.0704631296042324,0.1072983118617464,0.0,0.0056190836468402,2.0,0.0,0.0,0.4810036986158626,0.2952911589606642,0.0576063914900058,0.0876252852299989,0.0,0.0057624320328703,2.0,0.0,0.0,0.396767817845045,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,leave_out_ghostbuster,recon_lin_multi,32
4,0.2569771275794217,0.0514159602343026,0.0782009173279811,0.0,0.0058148785521309,2.0,0.0,0.0,0.3475516955100388,0.2149991391364283,0.0448915632810384,0.0681641885846752,0.0,0.0059216001438059,2.0,0.0,0.0,0.2940320124987311,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,leave_out_ghostbuster,recon_lin_multi,32
5,0.1799081229022905,0.040891256165125,0.0620806406915769,0.0,0.0059645435879969,2.0,0.0,0.0,0.2518993447813148,0.1364710870469585,0.0369297430737877,0.0559130709062059,0.0,0.0060449564128682,2.0,0.0,0.0,0.2014178149732463,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,leave_out_ghostbuster,recon_lin_multi,32
