model_version,train_source,feature_set,auroc,auprc,tpr_at_fpr_5pct,status,experiment,model,loss_mode,dmd_rank,test_set,best_model,n_features,positive_class_rate,mean_ai_probability_human,mean_ai_probability_ai,accuracy,balanced_accuracy,precision,recall,tpr,specificity,tnr,f1,mcc,fpr,fnr,tpr_at_fpr_1pct,tpr_at_fpr_10pct,fpr_at_tpr_90pct,fpr_at_tpr_95pct,brier_score,expected_calibration_error,ECE,log_loss
previous_best_transition,leave_out_ghostbuster,full_plus_1_5b_and_7b_transition,0.6951,0.6592,0.0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,leave_out_ghostbuster,full_plus_transition_plus_strict_koopman,0.7119777777777777,0.6860197864224458,0.14,ok,leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank16_len256,qwen25_1_5b,recon_only,16.0,all_samples,RandomForest,805.0,0.5,0.6427777777777777,0.7164666666666668,0.5333333333333333,0.5333333333333333,0.5174825174825175,0.9866666666666667,0.9866666666666667,0.08,0.08,0.6788990825688074,0.15803488531025348,0.92,0.013333333333333334,0.013333333333333334,0.32,0.6933333333333334,0.84,0.25689111111111107,0.17962222222222224,0.17962222222222224,0.719898604803592
,leave_out_ghostbuster,full_plus_transition_plus_strict_koopman,0.6947111111111111,0.6702199955112077,0.14,ok,leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank32_len256,qwen25_1_5b,recon_only,32.0,all_samples,RandomForest,805.0,0.5,0.6189333333333333,0.6974222222222223,0.5566666666666666,0.5566666666666666,0.5315985130111525,0.9533333333333334,0.9533333333333334,0.16,0.16,0.6825775656324582,0.1861623850973523,0.84,0.04666666666666667,0.013333333333333334,0.38,0.7333333333333333,0.84,0.25080207407407407,0.15817777777777772,0.15817777777777772,0.7105764858772486
,leave_out_ghostbuster,full_plus_transition_plus_strict_koopman,0.6856444444444445,0.6708568801705936,0.11333333333333333,ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank16_len256,qwen25_1_5b,recon_lin,16.0,all_samples,RandomForest,805.0,0.5,0.6704222222222223,0.7283777777777778,0.5033333333333333,0.5033333333333333,0.5016949152542373,0.9866666666666667,0.9866666666666667,0.02,0.02,0.6651685393258427,0.02603778219616477,0.98,0.013333333333333334,0.013333333333333334,0.32,0.7733333333333333,0.8733333333333333,0.2698467407407407,0.19940000000000005,0.19940000000000005,0.7492063537524271
,leave_out_ghostbuster,full_plus_strict_koopman,0.6782666666666666,0.6540836553554179,0.08,ok,leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank16_len256,qwen25_1_5b,recon_only,16.0,all_samples,RandomForest,315.0,0.5,0.6149333333333334,0.7092666666666667,0.5733333333333334,0.5733333333333334,0.5447154471544715,0.8933333333333333,0.8933333333333333,0.25333333333333335,0.25333333333333335,0.6767676767676768,0.1908790423082963,0.7466666666666667,0.10666666666666667,0.013333333333333334,0.2733333333333333,0.76,0.82,0.253075962962963,0.1621000000000001,0.1621000000000001,0.7237265685307093
,leave_out_ghostbuster,full_plus_transition_plus_strict_koopman,0.6632000000000001,0.6497641142618736,0.14666666666666667,ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,qwen25_1_5b,recon_lin_multi,16.0,all_samples,RandomForest,805.0,0.5,0.6780222222222221,0.7314444444444445,0.51,0.51,0.5050847457627119,0.9933333333333333,0.9933333333333333,0.02666666666666667,0.02666666666666667,0.6696629213483146,0.07811334658849432,0.9733333333333334,0.006666666666666667,0.013333333333333334,0.24666666666666667,0.7933333333333333,0.8866666666666667,0.27488777777777773,0.2047333333333334,0.2047333333333334,0.7656724959608632
,leave_out_ghostbuster,full_plus_transition_plus_strict_koopman,0.6576888888888889,0.656414569086135,0.20666666666666667,ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,qwen25_1_5b,recon_lin,32.0,all_samples,RandomForest,805.0,0.5,0.6470888888888889,0.7071333333333333,0.5233333333333333,0.5233333333333333,0.5128205128205128,0.9333333333333333,0.9333333333333333,0.11333333333333333,0.11333333333333333,0.6619385342789598,0.08153326507837143,0.8866666666666667,0.06666666666666667,0.013333333333333334,0.31333333333333335,0.8133333333333334,0.9,0.26564644444444446,0.17988888888888885,0.17988888888888885,0.7415308733121047
,leave_out_ghostbuster,full_plus_strict_koopman,0.6441555555555556,0.6215154587548263,0.08666666666666667,ok,leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank32_len256,qwen25_1_5b,recon_only,32.0,all_samples,RandomForest,315.0,0.5,0.6202444444444445,0.7006666666666667,0.55,0.55,0.5306122448979592,0.8666666666666667,0.8666666666666667,0.23333333333333334,0.23333333333333334,0.6582278481012658,0.12921914767618442,0.7666666666666667,0.13333333333333333,0.013333333333333334,0.22666666666666666,0.8,0.8066666666666666,0.261457,0.1604555555555556,0.1604555555555556,0.7413208312393339
,leave_out_ghostbuster,full_plus_transition_plus_strict_koopman,0.6437555555555556,0.6333083918531374,0.08,ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,qwen25_1_5b,recon_lin_multi,32.0,all_samples,RandomForest,805.0,0.5,0.6682222222222223,0.7206444444444444,0.5066666666666667,0.5066666666666667,0.503448275862069,0.9733333333333334,0.9733333333333334,0.04,0.04,0.6636363636363637,0.037139067635410375,0.96,0.02666666666666667,0.013333333333333334,0.24666666666666667,0.8066666666666666,0.94,0.27382211111111115,0.19443333333333332,0.19443333333333332,0.7617499799817349
,leave_out_ghostbuster,full_plus_strict_koopman,0.631,0.6201621442840691,0.03333333333333333,ok,leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,qwen25_1_5b,recon_lin_multi,16.0,all_samples,RandomForest,315.0,0.5,0.6188444444444444,0.6846444444444445,0.5333333333333333,0.5333333333333333,0.5204918032786885,0.8466666666666667,0.8466666666666667,0.22,0.22,0.6446700507614214,0.08554823885364436,0.78,0.15333333333333332,0.013333333333333334,0.26,0.8333333333333334,0.9,0.26404685185185184,0.15338888888888896,0.15338888888888896,0.7412784763408256
