model_version,status,n_bootstrap,n_effective,n,label_col,score_col,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,f1,f1_ci_low,f1_ci_high,tpr_at_fpr_5pct,tpr_at_fpr_5pct_ci_low,tpr_at_fpr_5pct_ci_high,ece,ece_ci_low,ece_ci_high,brier,brier_ci_low,brier_ci_high
previous_best_transition,skipped_predictions_not_found,,,,,,,,,,,,,,,,,,,,,,,
strict_loss_update_best_overall,ok,1000.0,1000.0,300.0,label,ai_probability,0.7119777777777777,0.6536060754092704,0.768310887989896,0.6860197864224458,0.6090830460424499,0.7745959869440968,0.6788990825688074,0.6320693093712185,0.7260586327103709,0.14,0.020968244084682442,0.31699169375225705,0.17962222222222224,0.13334138888888888,0.23229166666666667,0.25689111111111107,0.2352858296296296,0.2783473185185185
strict_loss_update_best_low_fpr,ok,1000.0,1000.0,300.0,label,ai_probability,0.6576888888888889,0.599443079403216,0.7181070424425728,0.656414569086135,0.5797544186274511,0.7412628071694555,0.6619385342789598,0.6109582945673719,0.7142857142857143,0.20666666666666667,0.04,0.31847830414012734,0.17988888888888885,0.13738416666666664,0.2375122222222222,0.26564644444444446,0.2425223796296296,0.28764472037037037
