train_source,test_set,feature_set,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,fpr_at_tpr_95pct
leave_out_ghostbuster,all_samples,strict_koopman_spectral_only,0.4706222222222222,0.47498041772915955,0.6621315192743764,0.0,0.02,0.9266666666666666
leave_out_ghostbuster,m4_test,strict_koopman_spectral_only,0.9086427827435022,0.979873751893504,0.9397659149300599,0.2314148681055156,0.5731414868105515,0.40404040404040403
leave_out_ghostbuster,ghostbuster_test,strict_koopman_spectral_only,0.9308123556212964,0.9486310759932385,0.7451737451737451,0.38242894056847543,0.6976744186046512,0.33568904593639576
leave_out_ghostbuster,hc3_plus_test,strict_koopman_spectral_only,0.9450162673765159,0.9624384292292265,0.7990074441687345,0.6645962732919255,0.7391304347826086,0.24761904761904763
leave_out_ghostbuster,all_samples,full_plus_strict_koopman,0.6782666666666666,0.6540836553554179,0.6767676767676768,0.013333333333333334,0.08,0.82
leave_out_ghostbuster,m4_test,full_plus_strict_koopman,0.9931105620554062,0.9987192519126885,0.9839667458432304,0.8237410071942446,0.9760191846522782,0.037037037037037035
leave_out_ghostbuster,ghostbuster_test,full_plus_strict_koopman,0.9121492681768794,0.9397070343857042,0.8526315789473684,0.5116279069767442,0.6330749354005168,0.5017667844522968
leave_out_ghostbuster,hc3_plus_test,full_plus_strict_koopman,0.973617272996155,0.9843134850410007,0.8502673796791443,0.8012422360248447,0.9130434782608695,0.10476190476190476
leave_out_ghostbuster,all_samples,transition_plus_strict_koopman,0.46028888888888886,0.4677444461181945,0.6666666666666666,0.006666666666666667,0.02666666666666667,0.9666666666666667
leave_out_ghostbuster,m4_test,transition_plus_strict_koopman,0.7595650752125572,0.9413244475571977,0.9182493806771264,0.12290167865707434,0.30935251798561153,0.6902356902356902
leave_out_ghostbuster,ghostbuster_test,transition_plus_strict_koopman,0.7422868673587713,0.8144459110514434,0.7322611163670766,0.16795865633074936,0.27906976744186046,0.8975265017667845
leave_out_ghostbuster,hc3_plus_test,transition_plus_strict_koopman,0.8372966577935523,0.8938103963238301,0.7540983606557377,0.34782608695652173,0.515527950310559,0.8761904761904762
leave_out_ghostbuster,all_samples,full_plus_transition_plus_strict_koopman,0.7119777777777777,0.6860197864224458,0.6788990825688074,0.013333333333333334,0.14,0.84
leave_out_ghostbuster,m4_test,full_plus_transition_plus_strict_koopman,0.9897435586884029,0.9980658665971003,0.9810089020771513,0.7739808153477218,0.960431654676259,0.04713804713804714
leave_out_ghostbuster,ghostbuster_test,full_plus_transition_plus_strict_koopman,0.9037490526930908,0.9364516674303148,0.8388814913448736,0.5167958656330749,0.6873385012919897,0.5512367491166078
leave_out_ghostbuster,hc3_plus_test,full_plus_transition_plus_strict_koopman,0.9649511978704525,0.9725807321139902,0.8060453400503779,0.7515527950310559,0.8198757763975155,0.10476190476190476
leave_out_ghostbuster,all_samples,strict_koopman_spectral_only,0.5422222222222223,0.5519728746025099,0.6621621621621622,0.03333333333333333,0.08,0.9466666666666667
leave_out_ghostbuster,m4_test,strict_koopman_spectral_only,0.9207977052701273,0.982768878273136,0.9419834238353816,0.32973621103117506,0.6109112709832134,0.3501683501683502
leave_out_ghostbuster,ghostbuster_test,strict_koopman_spectral_only,0.9217090786241909,0.9437112068426836,0.750733137829912,0.39276485788113696,0.6408268733850129,0.4028268551236749
leave_out_ghostbuster,hc3_plus_test,strict_koopman_spectral_only,0.9523809523809524,0.9668364952952199,0.7853658536585366,0.4782608695652174,0.6645962732919255,0.1523809523809524
leave_out_ghostbuster,all_samples,full_plus_strict_koopman,0.6441555555555556,0.6215154587548263,0.6582278481012658,0.013333333333333334,0.08666666666666667,0.8066666666666666
leave_out_ghostbuster,m4_test,full_plus_strict_koopman,0.9926089431485114,0.998598535353061,0.9836940409131337,0.8201438848920863,0.9706235011990407,0.03367003367003367
leave_out_ghostbuster,ghostbuster_test,full_plus_strict_koopman,0.9119529587932907,0.9408488562200882,0.8556566970091027,0.5400516795865633,0.6795865633074936,0.508833922261484
