fpr,tpr,threshold
0.0,0.0,inf
0.006666666666666667,0.006666666666666667,0.9933333333333333
0.04,0.02,0.99
0.06,0.06,0.9866666666666667
0.14,0.11333333333333333,0.9833333333333333
0.18666666666666668,0.13333333333333333,0.98
0.24666666666666667,0.17333333333333334,0.9766666666666667
0.30666666666666664,0.26666666666666666,0.9733333333333334
0.3933333333333333,0.36,0.97
0.54,0.52,0.9633333333333334
0.5933333333333334,0.5666666666666667,0.96
0.6266666666666667,0.6,0.9566666666666667
0.68,0.6533333333333333,0.9533333333333334
0.7133333333333334,0.6866666666666666,0.95
0.7333333333333333,0.7133333333333334,0.9466666666666667
0.7466666666666667,0.74,0.9433333333333334
0.7733333333333333,0.7666666666666667,0.94
0.8066666666666666,0.7933333333333333,0.9366666666666666
0.8133333333333334,0.8133333333333334,0.9333333333333333
0.82,0.86,0.93
0.86,0.8666666666666667,0.9266666666666666
0.8933333333333333,0.88,0.9233333333333333
0.92,0.8866666666666667,0.92
0.9333333333333333,0.9133333333333333,0.9166666666666666
0.96,0.94,0.9033333333333333
0.9666666666666667,0.94,0.9
0.9666666666666667,0.9466666666666667,0.8966666666666666
0.9733333333333334,0.9533333333333334,0.8933333333333333
0.98,0.9533333333333334,0.89
0.98,0.96,0.8833333333333333
0.9866666666666667,0.96,0.8766666666666667
0.9866666666666667,0.9733333333333334,0.8733333333333333
0.9866666666666667,1.0,0.84
1.0,1.0,0.6466666666666666
