recall,precision,threshold
1.0,0.5,0.33666666666666667
1.0,0.5016722408026756,0.38
0.9933333333333333,0.5016835016835017,0.3933333333333333
0.9933333333333333,0.5033783783783784,0.41333333333333333
0.9866666666666667,0.5016949152542373,0.4266666666666667
0.9866666666666667,0.5034013605442177,0.43666666666666665
0.98,0.5017064846416383,0.44666666666666666
0.9733333333333334,0.5017182130584192,0.45
0.9733333333333334,0.503448275862069,0.45666666666666667
0.9733333333333334,0.5051903114186851,0.4633333333333333
0.9666666666666667,0.5087719298245614,0.4666666666666667
0.96,0.508833922261484,0.47333333333333333
0.96,0.5124555160142349,0.4766666666666667
0.96,0.5161290322580645,0.48
0.9533333333333334,0.5143884892086331,0.4866666666666667
0.9466666666666667,0.5163636363636364,0.49
0.94,0.5145985401459854,0.49333333333333335
0.9333333333333333,0.5128205128205128,0.5
0.9333333333333333,0.5147058823529411,0.5033333333333333
0.9333333333333333,0.5185185185185185,0.51
0.9266666666666666,0.5186567164179104,0.52
0.92,0.5207547169811321,0.5233333333333333
0.92,0.5227272727272727,0.5333333333333333
0.9133333333333333,0.5229007633587787,0.5366666666666666
0.9,0.5192307692307693,0.54
0.9,0.5232558139534884,0.5433333333333333
0.9,0.5252918287937743,0.55
0.8866666666666667,0.5236220472440944,0.5533333333333333
0.8733333333333333,0.524,0.5566666666666666
0.8666666666666667,0.5220883534136547,0.5633333333333334
0.86,0.5222672064777328,0.5666666666666667
0.8533333333333334,0.5203252032520326,0.5733333333333334
0.8533333333333334,0.5311203319502075,0.5766666666666667
0.8466666666666667,0.5313807531380753,0.58
0.8333333333333334,0.5274261603375527,0.5833333333333334
0.8266666666666667,0.5254237288135594,0.5866666666666667
0.8266666666666667,0.5276595744680851,0.59
0.82,0.5256410256410257,0.5933333333333334
0.82,0.5347826086956522,0.5966666666666667
0.8133333333333334,0.5350877192982456,0.6
0.8,0.5429864253393665,0.6033333333333334
0.7866666666666666,0.5412844036697247,0.61
0.7866666666666666,0.543778801843318,0.6133333333333333
0.7666666666666667,0.5424528301886793,0.6166666666666667
0.7666666666666667,0.5528846153846154,0.62
0.7666666666666667,0.5609756097560976,0.6233333333333333
0.76,0.5643564356435643,0.63
0.76,0.5671641791044776,0.6333333333333333
0.7533333333333333,0.5707070707070707,0.6366666666666667
0.7466666666666667,0.5773195876288659,0.64
0.7333333333333333,0.5759162303664922,0.6433333333333333
0.7266666666666667,0.5797872340425532,0.65
0.7266666666666667,0.5828877005347594,0.6533333333333333
