fpr,tpr,threshold
0.0,0.0,inf
0.0,0.013333333333333334,0.9933333333333333
0.02,0.013333333333333334,0.94
0.02,0.03333333333333333,0.8966666666666666
0.02666666666666667,0.03333333333333333,0.88
0.02666666666666667,0.04,0.8766666666666667
0.02666666666666667,0.05333333333333334,0.87
0.02666666666666667,0.06,0.8666666666666667
0.02666666666666667,0.07333333333333333,0.86
0.02666666666666667,0.08,0.85
0.04,0.08,0.8466666666666667
0.04,0.09333333333333334,0.8366666666666667
0.04,0.10666666666666667,0.8333333333333334
0.04,0.11333333333333333,0.83
0.04666666666666667,0.11333333333333333,0.8266666666666667
0.04666666666666667,0.12,0.8166666666666667
0.04666666666666667,0.13333333333333333,0.8133333333333334
0.04666666666666667,0.14,0.81
0.05333333333333334,0.15333333333333332,0.8066666666666666
0.05333333333333334,0.16,0.8033333333333333
0.06,0.17333333333333334,0.7966666666666666
0.07333333333333333,0.18,0.7933333333333333
0.07333333333333333,0.18666666666666668,0.79
0.07333333333333333,0.21333333333333335,0.7833333333333333
0.08,0.23333333333333334,0.78
0.08,0.24666666666666667,0.7733333333333333
0.08,0.26666666666666666,0.77
0.09333333333333334,0.28,0.7666666666666667
0.09333333333333334,0.29333333333333333,0.7633333333333333
0.1,0.31333333333333335,0.76
0.1,0.3333333333333333,0.7566666666666667
0.1,0.34,0.7533333333333333
0.1,0.38,0.7433333333333333
0.12,0.38666666666666666,0.74
0.14,0.4066666666666667,0.7366666666666667
0.16666666666666666,0.42,0.73
0.19333333333333333,0.44,0.7233333333333334
0.2,0.47333333333333333,0.72
0.20666666666666667,0.4866666666666667,0.7166666666666667
0.22666666666666666,0.4866666666666667,0.7133333333333334
0.22666666666666666,0.5,0.71
0.22666666666666666,0.5066666666666667,0.7066666666666667
0.24,0.5133333333333333,0.7033333333333334
0.24,0.54,0.7
0.24666666666666667,0.54,0.6966666666666667
0.26666666666666666,0.5733333333333334,0.6933333333333334
0.2866666666666667,0.5733333333333334,0.69
0.3,0.58,0.6866666666666666
0.31333333333333335,0.5933333333333334,0.6833333333333333
0.32666666666666666,0.6,0.68
0.32666666666666666,0.6066666666666667,0.6766666666666666
0.34,0.62,0.67
0.34,0.6333333333333333,0.6666666666666666
0.3466666666666667,0.6466666666666666,0.66
0.35333333333333333,0.6533333333333333,0.6566666666666666
0.36666666666666664,0.66,0.6533333333333333
0.36666666666666664,0.6666666666666666,0.65
0.38,0.6866666666666666,0.6466666666666666
0.4,0.7133333333333334,0.6433333333333333
0.4266666666666667,0.7133333333333334,0.64
0.4666666666666667,0.74,0.6333333333333333
0.5066666666666667,0.76,0.6233333333333333
0.5266666666666666,0.7733333333333333,0.62
0.5533333333333333,0.7733333333333333,0.6166666666666667
0.56,0.7933333333333333,0.6133333333333333
0.5866666666666667,0.8,0.61
0.5866666666666667,0.8133333333333334,0.6066666666666667
0.5866666666666667,0.82,0.6033333333333334
0.6,0.82,0.5966666666666667
0.6133333333333333,0.82,0.5866666666666667
0.6266666666666667,0.8466666666666667,0.58
0.64,0.8533333333333334,0.5766666666666667
0.6666666666666666,0.8533333333333334,0.56
0.6733333333333333,0.86,0.5566666666666666
0.68,0.8733333333333333,0.5533333333333333
0.7,0.8733333333333333,0.55
0.7133333333333334,0.8733333333333333,0.5466666666666666
0.7133333333333334,0.8933333333333333,0.5433333333333333
0.7333333333333333,0.9,0.54
0.76,0.9133333333333333,0.5333333333333333
0.7666666666666667,0.9133333333333333,0.53
0.78,0.92,0.5266666666666666
0.7866666666666666,0.9266666666666666,0.5233333333333333
0.8,0.9333333333333333,0.52
0.8066666666666666,0.9333333333333333,0.5166666666666667
0.82,0.9333333333333333,0.5133333333333333
0.8266666666666667,0.94,0.51
0.8266666666666667,0.9466666666666667,0.5066666666666667
0.84,0.9466666666666667,0.5033333333333333
0.84,0.9533333333333334,0.5
0.8466666666666667,0.96,0.49666666666666665
0.86,0.96,0.49
0.8733333333333333,0.96,0.4866666666666667
0.88,0.96,0.48
0.8933333333333333,0.9666666666666667,0.4766666666666667
0.9,0.9666666666666667,0.47333333333333333
0.9,0.98,0.4633333333333333
0.9133333333333333,0.9866666666666667,0.4533333333333333
0.92,0.9866666666666667,0.45
0.9333333333333333,0.9933333333333333,0.44
0.96,0.9933333333333333,0.42
0.9666666666666667,1.0,0.41333333333333333
1.0,1.0,0.3466666666666667
