bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,5,0.27599999999999997,0.2,0.07599999999999996
3,0.30000000000000004,0.4,21,0.3598412698412699,0.42857142857142855,0.06873015873015864
4,0.4,0.5,38,0.45342105263157895,0.39473684210526316,0.05868421052631578
5,0.5,0.6000000000000001,51,0.5467320261437908,0.49019607843137253,0.056535947712418266
6,0.6000000000000001,0.7000000000000001,55,0.6484242424242426,0.34545454545454546,0.3029696969696971
7,0.7000000000000001,0.8,74,0.7548648648648648,0.5945945945945946,0.1602702702702702
8,0.8,0.9,40,0.8491666666666667,0.7,0.14916666666666678
9,0.9,1.0,16,0.9393750000000001,0.5625,0.37687500000000007
