calibrator,positive_class_rate,mean_ai_probability_human,mean_ai_probability_ai,auroc,auprc,accuracy,balanced_accuracy,precision,recall,tpr,specificity,tnr,f1,mcc,fpr,fnr,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tpr_at_fpr_10pct,fpr_at_tpr_90pct,fpr_at_tpr_95pct,brier_score,expected_calibration_error,ECE,log_loss
uncalibrated,0.5,0.6427777777777777,0.7164666666666668,0.7119777777777777,0.6860197864224458,0.5333333333333333,0.5333333333333333,0.5174825174825175,0.9866666666666667,0.9866666666666667,0.08,0.08,0.6788990825688074,0.15803488531025348,0.92,0.013333333333333334,0.013333333333333334,0.14,0.32,0.6933333333333334,0.84,0.25689111111111107,0.17962222222222224,0.17962222222222224,0.719898604803592
platt_sigmoid,0.5,0.5928151081154974,0.6874193203597886,0.7119777777777777,0.6860197864224458,0.5733333333333334,0.5733333333333334,0.5433070866141733,0.92,0.92,0.22666666666666666,0.22666666666666666,0.6831683168316832,0.2035292848826953,0.7733333333333333,0.08,0.013333333333333334,0.14,0.32,0.6933333333333334,0.84,0.24069404144498946,0.14011721423764303,0.14011721423764303,0.6902658853792332
isotonic,0.5,0.5277190270351233,0.6942591975623769,0.7046222222222223,0.6681772433878014,0.6233333333333333,0.6233333333333333,0.5939086294416244,0.78,0.78,0.4666666666666667,0.4666666666666667,0.6743515850144092,0.2597466760429126,0.5333333333333333,0.22,0.013333333333333334,0.06,0.06,0.9933333333333333,0.9933333333333333,0.23765509956197273,0.12391840522804323,0.12391840522804323,0.7037423759261444
