bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,2,0.00028429171057292027,0.5,0.4997157082894271
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,1,0.24672931032823078,0.0,0.24672931032823078
3,0.30000000000000004,0.4,1,0.3160351371006636,1.0,0.6839648628993364
4,0.4,0.5,0,,,
5,0.5,0.6000000000000001,1,0.5037927896422355,1.0,0.4962072103577645
6,0.6000000000000001,0.7000000000000001,5,0.6313990308249243,0.2,0.4313990308249243
7,0.7000000000000001,0.8,6,0.7456502441607542,0.16666666666666666,0.5789835774940876
8,0.8,0.9,35,0.8650279295585677,0.42857142857142855,0.4364565009871391
9,0.9,1.0,249,0.9672172416344881,0.5220883534136547,0.4451288882208334
